ZIP,Size of adjusted gross income,number of returns,single returns,joint returns,Adjusted gross income
46041,,"10,830","4,910","4,050","496,153"
46041,"$1 under $25,000",4170,2860,610,51000
46041,"$25,000 under $50,000",3230,1410,900,117087
46041,"$50,000 under $75,000",1560,450,900,95304
46041,"$75,000 under $100,000",880,110,740,76315
46041,"$100,000 under $200,000",860,80,780,110170
46041,"$200,000 or more",130,** ,120,46277
,,,,,
46044,,"1,420",600,600,"71,318"
46044,"$1 under $25,000",480,320,80,5782
46044,"$25,000 under $50,000",420,200,130,15494
46044,"$50,000 under $75,000",210,80,120,12860
46044,"$75,000 under $100,000",150,** ,120,12755
46044,"$100,000 under $200,000",140,** ,130,18088
46044,"$200,000 or more",20,** ,20,6339
,,,,,
46048,,880,390,320,"37,950"
46048,"$1 under $25,000",300,220,30,3659
46048,"$25,000 under $50,000",270,110,80,10060
46048,"$50,000 under $75,000",170,60,90,10336
46048,"$75,000 under $100,000",80,** ,70,6816
46048,"$100,000 under $200,000",60,** ,50,7079
46048,"$200,000 or more",** ,** ,** ,** 
,,,,,
46049,,360,160,190,"20,708"
46049,"$1 under $25,000",110,80,30,1471
46049,"$25,000 under $50,000",100,50,40,3719
46049,"$50,000 under $75,000",60,30,40,3664
46049,"$75,000 under $100,000",40,** ,30,3766
46049,"$100,000 under $200,000",50,** ,50,8088
46049,"$200,000 or more",** ,** ,** ,** 
,,,,,
46050,,800,310,400,"45,133"
46050,"$1 under $25,000",270,170,70,2946
46050,"$25,000 under $50,000",190,90,60,6733
46050,"$50,000 under $75,000",130,50,80,8169
46050,"$75,000 under $100,000",90,** ,70,7695
46050,"$100,000 under $200,000",120,** ,120,19590
46050,"$200,000 or more",** ,** ,** ,** 
,,,,,
46051,,"1,400",650,580,"74,556"
46051,"$1 under $25,000",470,340,70,5299
46051,"$25,000 under $50,000",360,210,80,13009
46051,"$50,000 under $75,000",210,60,120,12982
46051,"$75,000 under $100,000",150,40,120,12555
46051,"$100,000 under $200,000",210,** ,190,30711
46051,"$200,000 or more",** ,** ,** ,** 
,,,,,
46052,,"10,970","5,180","4,360","621,269"
46052,"$1 under $25,000",3760,2730,500,44911
46052,"$25,000 under $50,000",2880,1590,680,104693
46052,"$50,000 under $75,000",1600,530,870,98216
46052,"$75,000 under $100,000",1120,200,870,97450
46052,"$100,000 under $200,000",1340,130,1200,175759
46052,"$200,000 or more",270,** ,240,100240
,,,,,
46055,,"6,400","2,430","3,190","659,292"
46055,"$1 under $25,000",1590,1260,150,16435
46055,"$25,000 under $50,000",1020,540,240,37717
46055,"$50,000 under $75,000",890,320,370,55135
46055,"$75,000 under $100,000",810,150,580,71188
46055,"$100,000 under $200,000",1480,120,1290,202238
46055,"$200,000 or more",610,40,560,276579
,,,,,
46056,,"1,160",490,540,"66,970"
46056,"$1 under $25,000",380,280,60,4548
46056,"$25,000 under $50,000",280,130,100,10484
46056,"$50,000 under $75,000",190,50,120,11562
46056,"$75,000 under $100,000",120,30,90,10130
46056,"$100,000 under $200,000",160,** ,150,21541
46056,"$200,000 or more",30,** ,20,8705
,,,,,
46057,,520,240,210,"26,571"
46057,"$1 under $25,000",180,130,20,2111
46057,"$25,000 under $50,000",130,60,40,4763
46057,"$50,000 under $75,000",90,50,40,5437
46057,"$75,000 under $100,000",60,** ,50,5433
46057,"$100,000 under $200,000",60,** ,60,8827
46057,"$200,000 or more",** ,** ,** ,** 
,,,,,
46058,,"1,000",410,480,"56,954"
46058,"$1 under $25,000",330,240,50,3871
46058,"$25,000 under $50,000",230,120,70,8438
46058,"$50,000 under $75,000",150,30,100,9562
46058,"$75,000 under $100,000",130,20,110,11094
46058,"$100,000 under $200,000",140,** ,130,17443
46058,"$200,000 or more",20,** ,20,6546
,,,,,
46060,,"19,860","8,670","8,420","1,377,031"
46060,"$1 under $25,000",6020,4520,630,69642
46060,"$25,000 under $50,000",4510,2420,1010,166309
46060,"$50,000 under $75,000",2990,1070,1460,185146
46060,"$75,000 under $100,000",2220,370,1660,192765
46060,"$100,000 under $200,000",3360,250,2960,449912
46060,"$200,000 or more",760,40,700,313257
,,,,,
46062,,"17,170","6,980","8,560","1,674,474"
46062,"$1 under $25,000",4640,3790,470,49139
46062,"$25,000 under $50,000",2890,1660,670,106883
46062,"$50,000 under $75,000",2170,800,1030,134385
46062,"$75,000 under $100,000",1970,360,1450,171834
46062,"$100,000 under $200,000",3960,280,3530,544739
46062,"$200,000 or more",1540,90,1410,667494
,,,,,
46064,,"6,750","2,840","3,110","485,146"
46064,"$1 under $25,000",1980,1580,210,22018
46064,"$25,000 under $50,000",1430,730,370,53053
46064,"$50,000 under $75,000",1050,310,570,65003
46064,"$75,000 under $100,000",820,140,620,71588
46064,"$100,000 under $200,000",1210,80,1100,162356
46064,"$200,000 or more",260,** ,240,111128
,,,,,
46065,,"1,680",690,780,"92,862"
46065,"$1 under $25,000",560,390,100,6494
46065,"$25,000 under $50,000",400,200,110,14321
46065,"$50,000 under $75,000",270,60,170,16605
46065,"$75,000 under $100,000",190,40,160,16521
