ZIP,Size of adjusted gross income,number of returns,single returns,joint returns,Adjusted gross income
46321,"$25,000 under $50,000",1930,1150,440,71074
46321,"$50,000 under $75,000",1540,700,570,96281
46321,"$75,000 under $100,000",1380,420,800,120310
46321,"$100,000 under $200,000",2610,330,2140,359339
46321,"$200,000 or more",1050,90,910,462369
,,,,,
46322,,"12,490","6,440","4,430","727,030"
46322,"$1 under $25,000",3900,3030,430,45071
46322,"$25,000 under $50,000",2810,1660,570,103502
46322,"$50,000 under $75,000",2240,1040,830,138729
46322,"$75,000 under $100,000",1550,430,990,134612
46322,"$100,000 under $200,000",1790,250,1450,233801
46322,"$200,000 or more",200,30,160,71315
,,,,,
46323,,"10,150","5,100","2,630","402,429"
46323,"$1 under $25,000",4290,2830,430,54174
46323,"$25,000 under $50,000",2920,1400,620,105469
46323,"$50,000 under $75,000",1560,580,640,95756
46323,"$75,000 under $100,000",800,210,490,68952
46323,"$100,000 under $200,000",550,80,430,69915
46323,"$200,000 or more",30,** ,20,8163
,,,,,
46324,,"9,820","4,890","2,480","397,144"
46324,"$1 under $25,000",4160,2650,370,53375
46324,"$25,000 under $50,000",2780,1340,560,99455
46324,"$50,000 under $75,000",1490,600,580,91432
46324,"$75,000 under $100,000",760,190,480,65009
46324,"$100,000 under $200,000",590,110,460,75040
46324,"$200,000 or more",40,** ,30,12833
,,,,,
46327,,"4,490","2,130","1,170","151,769"
46327,"$1 under $25,000",2160,1300,270,28078
46327,"$25,000 under $50,000",1390,550,400,50085
46327,"$50,000 under $75,000",560,190,260,34415
46327,"$75,000 under $100,000",230,40,140,19413
46327,"$100,000 under $200,000",150,50,100,19778
46327,"$200,000 or more",** ,** ,** ,** 
,,,,,
46340,,580,280,250,"33,903"
46340,"$1 under $25,000",180,140,20,2129
46340,"$25,000 under $50,000",130,80,30,4835
46340,"$50,000 under $75,000",100,60,50,6245
46340,"$75,000 under $100,000",70,** ,60,6367
46340,"$100,000 under $200,000",100,** ,90,14327
46340,"$200,000 or more",** ,** ,** ,** 
,,,,,
46341,,"5,040","2,200","2,290","320,031"
46341,"$1 under $25,000",1670,1290,190,19335
46341,"$25,000 under $50,000",950,490,300,34809
46341,"$50,000 under $75,000",720,230,380,44864
46341,"$75,000 under $100,000",660,110,500,57364
46341,"$100,000 under $200,000",940,80,830,123048
46341,"$200,000 or more",100,** ,90,40611
,,,,,
46342,,"15,800","7,670","5,530","813,921"
46342,"$1 under $25,000",5670,4110,620,66722
46342,"$25,000 under $50,000",3660,1880,900,133787
46342,"$50,000 under $75,000",2530,1000,1070,156973
46342,"$75,000 under $100,000",1810,410,1190,156268
46342,"$100,000 under $200,000",1960,240,1620,251928
46342,"$200,000 or more",170,30,130,48243
,,,,,
46347,,"2,240",940,"1,140","142,245"
46347,"$1 under $25,000",690,530,110,7832
46347,"$25,000 under $50,000",430,210,150,15974
46347,"$50,000 under $75,000",340,110,200,21154
46347,"$75,000 under $100,000",310,60,240,26934
46347,"$100,000 under $200,000",430,30,400,56727
46347,"$200,000 or more",40,** ,40,13624
,,,,,
46348,,510,220,220,"28,532"
46348,"$1 under $25,000",190,120,30,2307
46348,"$25,000 under $50,000",110,50,30,3855
46348,"$50,000 under $75,000",70,50,40,4513
46348,"$75,000 under $100,000",60,** ,50,5055
46348,"$100,000 under $200,000",80,** ,70,12802
46348,"$200,000 or more",** ,** ,** ,** 
,,,,,
46349,,"1,520",670,690,"86,710"
46349,"$1 under $25,000",530,360,90,6149
46349,"$25,000 under $50,000",340,170,120,12653
46349,"$50,000 under $75,000",200,80,110,12571
46349,"$75,000 under $100,000",200,30,160,17755
46349,"$100,000 under $200,000",250,30,210,37582
46349,"$200,000 or more",** ,** ,** ,** 
,,,,,
46350,,"20,590","9,440","8,110","1,200,816"
46350,"$1 under $25,000",7550,5370,920,89713
46350,"$25,000 under $50,000",4870,2440,1320,176862
46350,"$50,000 under $75,000",2900,970,1500,178357
46350,"$75,000 under $100,000",2130,350,1630,185125
46350,"$100,000 under $200,000",2640,250,2310,344343
46350,"$200,000 or more",500,60,430,226416
,,,,,
46356,,"8,890","4,000","3,980","558,028"
46356,"$1 under $25,000",2780,2210,310,31833
46356,"$25,000 under $50,000",1730,970,470,62729
46356,"$50,000 under $75,000",1360,490,680,84598
46356,"$75,000 under $100,000",1150,180,870,100484
46356,"$100,000 under $200,000",1710,150,1510,223123
46356,"$200,000 or more",160,** ,140,55261
,,,,,
46360,,"19,970","10,230","5,690","930,364"
46360,"$1 under $25,000",8970,5890,900,112180
46360,"$25,000 under $50,000",5100,2630,1160,182907
46360,"$50,000 under $75,000",2520,1040,1130,155946
46360,"$75,000 under $100,000",1460,360,980,125926
46360,"$100,000 under $200,000",1550,240,1230,203246
46360,"$200,000 or more",370,70,290,150159
,,,,,
46365,,540,220,260,"28,814"
46365,"$1 under $25,000",180,130,30,2142
46365,"$25,000 under $50,000",120,60,40,4410
46365,"$50,000 under $75,000",80,30,50,4967
46365,"$75,000 under $100,000",70,** ,60,5748
46365,"$100,000 under $200,000",90,** ,80,11547
46365,"$200,000 or more",** ,** ,** ,** 
,,,,,
46366,,"2,560","1,080","1,110","121,935"
46366,"$1 under $25,000",1020,660,200,11771
46366,"$25,000 under $50,000",610,270,220,22043
46366,"$50,000 under $75,000",380,100,230,23534
46366,"$75,000 under $100,000",270,20,230,23522
46366,"$100,000 under $200,000",250,30,210,31713
46366,"$200,000 or more",30,** ,20,9352
,,,,,
46368,,"19,120","9,210","6,580","1,017,352"
46368,"$1 under $25,000",7130,5120,710,86734
46368,"$25,000 under $50,000",4400,2260,1030,160055
46368,"$50,000 under $75,000",2750,1060,1180,170360
46368,"$75,000 under $100,000",2100,480,1350,181522
46368,"$100,000 under $200,000",2480,260,2090,322996
46368,"$200,000 or more",260,30,220,95685
,,,,,
46371,,"1,790",800,780,"104,248"
46371,"$1 under $25,000",600,440,90,6731
46371,"$25,000 under $50,000",340,170,110,12419
46371,"$50,000 under $75,000",300,110,140,18665
46371,"$75,000 under $100,000",240,40,180,21282
46371,"$100,000 under $200,000",280,40,240,36259
46371,"$200,000 or more",30,** ,20,8892
,,,,,
46373,,"8,220","3,430","4,310","808,640"
46373,"$1 under $25,000",2130,1840,200,21533
46373,"$25,000 under $50,000",1060,650,310,39336
46373,"$50,000 under $75,000",980,450,410,60875
46373,"$75,000 under $100,000",1000,250,670,87375
46373,"$100,000 under $200,000",2280,200,2000,316153
46373,"$200,000 or more",770,40,720,283368
,,,,,
46374,,460,180,210,"23,669"
46374,"$1 under $25,000",160,100,30,2021
46374,"$25,000 under $50,000",100,40,40,3515
46374,"$50,000 under $75,000",80,40,40,4773
46374,"$75,000 under $100,000",60,** ,50,5635
46374,"$100,000 under $200,000",60,** ,50,7725
46374,"$200,000 or more",** ,** ,** ,** 
,,,,,
46375,,"12,650","6,210","5,150","985,586"
46375,"$1 under $25,000",3720,3030,360,41967
46375,"$25,000 under $50,000",2320,1400,560,85516
46375,"$50,000 under $75,000",1790,910,610,111305
46375,"$75,000 under $100,000",1490,470,850,129810
46375,"$100,000 under $200,000",2690,330,2220,367171
46375,"$200,000 or more",640,70,550,249817
,,,,,
46381,,130,70,40,"4,921"
46381,"$1 under $25,000",60,40,** ,589
46381,"$25,000 under $50,000",50,30,40,2180
46381,"$50,000 under $75,000",** ,** ,** ,** 
46381,"$75,000 under $100,000",20,** ,** ,2152
46381,"$100,000 under $200,000",** ,** ,** ,** 
46381,"$200,000 or more",0,0,0,0
,,,,,
46382,,"1,030",440,490,"64,366"
46382,"$1 under $25,000",310,230,40,3445
46382,"$25,000 under $50,000",220,120,60,8158
46382,"$50,000 under $75,000",180,60,110,11423
46382,"$75,000 under $100,000",130,30,110,11407
46382,"$100,000 under $200,000",170,** ,150,21869
46382,"$200,000 or more",20,0,20,8064
,,,,,
46383,,"18,830","9,150","7,610","1,368,240"
46383,"$1 under $25,000",6090,4800,530,70741
46383,"$25,000 under $50,000",3800,2270,880,140008
46383,"$50,000 under $75,000",2640,1150,1150,163672
46383,"$75,000 under $100,000",2100,510,1410,182787
46383,"$100,000 under $200,000",3420,360,2940,459851
46383,"$200,000 or more",780,60,700,351181
,,,,,
46385,,"19,990","8,660","9,370","1,742,331"
46385,"$1 under $25,000",5980,4740,610,65947
46385,"$25,000 under $50,000",3410,1850,980,125463
46385,"$50,000 under $75,000",2760,1050,1350,171582
46385,"$75,000 under $100,000",2410,510,1700,210788
46385,"$100,000 under $200,000",4190,400,3630,570548
46385,"$200,000 or more",1240,110,1100,598003
,,,,,
46390,,"1,390",610,660,"80,568"
46390,"$1 under $25,000",410,320,50,4843
46390,"$25,000 under $50,000",270,140,90,9965
46390,"$50,000 under $75,000",260,90,150,15751
46390,"$75,000 under $100,000",230,60,170,19528
46390,"$100,000 under $200,000",220,** ,200,30481
46390,"$200,000 or more",** ,** ,** ,** 
,,,,,
46391,,"2,990","1,360","1,300","191,906"
46391,"$1 under $25,000",940,700,110,11057
46391,"$25,000 under $50,000",660,360,190,23995
46391,"$50,000 under $75,000",440,160,230,27356
46391,"$75,000 under $100,000",310,70,220,27448
46391,"$100,000 under $200,000",550,70,480,73395
46391,"$200,000 or more",90,** ,70,28655
,,,,,
46392,,"3,640","1,520","1,730","210,341"
46392,"$1 under $25,000",1250,920,190,13988
46392,"$25,000 under $50,000",690,340,240,25693
46392,"$50,000 under $75,000",550,150,320,33784
46392,"$75,000 under $100,000",500,70,400,43136
46392,"$100,000 under $200,000",590,40,530,75609
46392,"$200,000 or more",60,** ,50,18131
,,,,,
46394,,"5,590","2,980","1,570","263,552"
46394,"$1 under $25,000",2140,1510,210,26816
46394,"$25,000 under $50,000",1500,830,300,54670
46394,"$50,000 under $75,000",880,390,340,53995
46394,"$75,000 under $100,000",510,150,300,44281
46394,"$100,000 under $200,000",490,100,370,65014
46394,"$200,000 or more",70,** ,50,18776
,,,,,
46402,,"1,890",850,190,"45,614"
46402,"$1 under $25,000",1290,610,60,16512
46402,"$25,000 under $50,000",420,180,60,14407
46402,"$50,000 under $75,000",100,60,30,6252
46402,"$75,000 under $100,000",50,** ,40,4604
46402,"$100,000 under $200,000",30,** ,** ,3839
46402,"$200,000 or more",** ,** ,** ,** 
,,,,,
46403,,"4,980","2,380",940,"216,637"
46403,"$1 under $25,000",2410,1290,140,30506
46403,"$25,000 under $50,000",1170,570,180,41752
46403,"$50,000 under $75,000",560,250,150,34780
46403,"$75,000 under $100,000",370,140,170,32356
46403,"$100,000 under $200,000",390,130,240,51679
46403,"$200,000 or more",80,** ,60,25564
,,,,,
46404,,"6,450","3,060",860,"199,743"
46404,"$1 under $25,000",3670,1890,210,47282
46404,"$25,000 under $50,000",1670,770,240,58630
46404,"$50,000 under $75,000",580,250,140,35480
46404,"$75,000 under $100,000",300,90,130,25609
46404,"$100,000 under $200,000",230,60,140,32742
46404,"$200,000 or more",** ,** ,** ,** 
,,,,,
46405,,"5,130","2,520","1,540","186,393"
46405,"$1 under $25,000",2400,1530,320,29456
46405,"$25,000 under $50,000",1410,660,370,50349
46405,"$50,000 under $75,000",700,210,390,42664
46405,"$75,000 under $100,000",380,70,270,32557
46405,"$100,000 under $200,000",240,50,190,31367
46405,"$200,000 or more",** ,** ,** ,** 
,,,,,
46406,,"3,310","1,630",510,"91,762"
46406,"$1 under $25,000",2000,1100,160,24848
46406,"$25,000 under $50,000",830,360,150,29118
46406,"$50,000 under $75,000",290,120,90,17378
46406,"$75,000 under $100,000",110,50,60,9511
46406,"$100,000 under $200,000",80,** ,50,10907
46406,"$200,000 or more",** ,** ,** ,** 
,,,,,
46407,,"3,810","1,790",360,"99,329"
46407,"$1 under $25,000",2420,1210,110,30243
46407,"$25,000 under $50,000",900,390,100,31309
46407,"$50,000 under $75,000",280,120,60,16925
46407,"$75,000 under $100,000",130,40,50,11084
46407,"$100,000 under $200,000",80,30,40,9768
46407,"$200,000 or more",** ,** ,** ,** 
,,,,,
46408,,"6,170","3,020","1,240","206,282"
46408,"$1 under $25,000",3210,1870,280,40630
46408,"$25,000 under $50,000",1670,770,320,59048
46408,"$50,000 under $75,000",670,250,250,40832
46408,"$75,000 under $100,000",350,90,190,29846
46408,"$100,000 under $200,000",270,40,200,35926
46408,"$200,000 or more",** ,** ,** ,** 
,,,,,
46409,,"2,700","1,220",410,"76,467"
46409,"$1 under $25,000",1660,820,120,21891
46409,"$25,000 under $50,000",650,270,120,22703
46409,"$50,000 under $75,000",230,90,80,14036
46409,"$75,000 under $100,000",90,20,50,7731
46409,"$100,000 under $200,000",70,20,40,10106
46409,"$200,000 or more",** ,** ,** ,** 
,,,,,
46410,,"18,480","9,290","4,670","865,041"
46410,"$1 under $25,000",7120,4800,620,88413
46410,"$25,000 under $50,000",4820,2430,810,174281
46410,"$50,000 under $75,000",2950,1260,970,181270
46410,"$75,000 under $100,000",1790,510,950,155170
46410,"$100,000 under $200,000",1650,260,1210,213171
46410,"$200,000 or more",150,30,110,52736
,,,,,
46501,,"1,700",720,710,"75,693"
46501,"$1 under $25,000",630,410,100,7326
46501,"$25,000 under $50,000",500,220,170,18528
46501,"$50,000 under $75,000",260,60,180,16112
46501,"$75,000 under $100,000",170,30,140,14345
46501,"$100,000 under $200,000",140,** ,120,19382
46501,"$200,000 or more",** ,** ,** ,** 
,,,,,
46504,,"1,580",730,670,"82,965"
46504,"$1 under $25,000",510,380,80,5871
46504,"$25,000 under $50,000",420,220,120,15479
46504,"$50,000 under $75,000",280,90,170,17411
46504,"$75,000 under $100,000",200,40,150,17226
46504,"$100,000 under $200,000",140,** ,130,17872
46504,"$200,000 or more",30,** ,20,9106
,,,,,
46506,,"4,770","2,210","2,080","284,972"
46506,"$1 under $25,000",1520,1170,230,16213
46506,"$25,000 under $50,000",1210,640,330,45111
46506,"$50,000 under $75,000",900,290,520,55326
46506,"$75,000 under $100,000",520,80,430,45239
46506,"$100,000 under $200,000",500,30,460,64802
46506,"$200,000 or more",120,** ,110,58281
,,,,,
46507,,"4,610","2,000","1,970","573,648"
46507,"$1 under $25,000",1380,980,190,16186
46507,"$25,000 under $50,000",1190,630,300,43739
46507,"$50,000 under $75,000",720,250,360,44594
46507,"$75,000 under $100,000",490,70,390,42662
46507,"$100,000 under $200,000",530,40,470,70557
46507,"$200,000 or more",300,30,260,355910
,,,,,
46510,,"1,590",680,760,"83,202"
46510,"$1 under $25,000",540,380,110,6090
46510,"$25,000 under $50,000",400,190,140,14308
46510,"$50,000 under $75,000",280,70,180,17449
46510,"$75,000 under $100,000",160,40,140,14276
46510,"$100,000 under $200,000",190,** ,190,24167
46510,"$200,000 or more",20,** ,** ,6912
,,,,,
46511,,"1,890",870,800,"116,549"
46511,"$1 under $25,000",690,500,100,7632
46511,"$25,000 under $50,000",430,230,110,15566
46511,"$50,000 under $75,000",270,80,160,16768
46511,"$75,000 under $100,000",200,30,160,16686
46511,"$100,000 under $200,000",230,30,220,30255
46511,"$200,000 or more",70,** ,50,29642
,,,,,
46514,,"20,360","9,860","6,920","1,218,153"
46514,"$1 under $25,000",7020,4890,870,87358
46514,"$25,000 under $50,000",6220,3320,1250,226287
46514,"$50,000 under $75,000",3270,1120,1640,199858
46514,"$75,000 under $100,000",1700,290,1310,146640
46514,"$100,000 under $200,000",1660,180,1440,215379
46514,"$200,000 or more",490,60,410,342631
,,,,,
46516,,"15,080","7,130","4,310","727,120"
46516,"$1 under $25,000",5850,3740,560,74239
46516,"$25,000 under $50,000",5000,2410,1010,179994
46516,"$50,000 under $75,000",2210,720,1080,133712
46516,"$75,000 under $100,000",1000,150,800,86433
46516,"$100,000 under $200,000",780,70,680,99541
46516,"$200,000 or more",240,40,180,153201
,,,,,
46517,,"10,600","4,760","3,780","544,500"
46517,"$1 under $25,000",3840,2590,470,46999
46517,"$25,000 under $50,000",3280,1550,770,119411
46517,"$50,000 under $75,000",1640,430,940,100174
46517,"$75,000 under $100,000",880,120,720,75979
46517,"$100,000 under $200,000",810,70,750,104288
46517,"$200,000 or more",150,** ,130,97649
,,,,,
46524,,"1,010",490,430,"49,959"
46524,"$1 under $25,000",310,230,50,3962
46524,"$25,000 under $50,000",270,150,80,9786
46524,"$50,000 under $75,000",270,110,160,16391
46524,"$75,000 under $100,000",90,** ,70,7436
46524,"$100,000 under $200,000",70,** ,70,12384
46524,"$200,000 or more",** ,** ,** ,** 
,,,,,
46526,,"14,980","6,710","6,150","862,941"
46526,"$1 under $25,000",4810,3480,740,55659
46526,"$25,000 under $50,000",4330,2150,1180,160147
46526,"$50,000 under $75,000",2680,780,1490,165297
46526,"$75,000 under $100,000",1490,170,1230,128402
46526,"$100,000 under $200,000",1330,110,1200,171535
46526,"$200,000 or more",340,20,310,181901
,,,,,
46528,,"11,920","5,050","5,200","735,569"
46528,"$1 under $25,000",3620,2680,480,40934
46528,"$25,000 under $50,000",3100,1470,880,114889
46528,"$50,000 under $75,000",2130,610,1190,131703
46528,"$75,000 under $100,000",1420,210,1130,122327
46528,"$100,000 under $200,000",1310,60,1210,168833
46528,"$200,000 or more",340,20,310,156883
,,,,,
46530,,"14,730","5,860","7,810","1,726,823"
46530,"$1 under $25,000",4000,3370,430,38252
46530,"$25,000 under $50,000",2200,1220,610,81278
46530,"$50,000 under $75,000",1770,600,920,110531
46530,"$75,000 under $100,000",1650,260,1280,144176
46530,"$100,000 under $200,000",3340,300,2950,459468
46530,"$200,000 or more",1770,110,1620,893118
,,,,,
46531,,670,290,280,"31,234"
46531,"$1 under $25,000",230,170,40,2603
46531,"$25,000 under $50,000",180,70,60,6402
46531,"$50,000 under $75,000",120,50,70,7184
46531,"$75,000 under $100,000",70,** ,50,6082
46531,"$100,000 under $200,000",70,** ,60,8963
46531,"$200,000 or more",** ,** ,** ,** 
,,,,,
46532,,800,370,340,"37,038"
46532,"$1 under $25,000",310,220,60,3835
46532,"$25,000 under $50,000",190,90,70,6885
46532,"$50,000 under $75,000",150,60,90,9200
46532,"$75,000 under $100,000",80,** ,60,6603
46532,"$100,000 under $200,000",70,** ,60,10515
46532,"$200,000 or more",** ,** ,** ,** 
,,,,,
46534,,"4,830","2,140","1,950","221,363"
46534,"$1 under $25,000",1940,1240,380,23681
46534,"$25,000 under $50,000",1320,600,450,48349
46534,"$50,000 under $75,000",740,200,430,44970
46534,"$75,000 under $100,000",430,60,340,36581
46534,"$100,000 under $200,000",360,40,320,46485
46534,"$200,000 or more",40,** ,30,21297
,,,,,
46536,,"1,510",660,660,"89,532"
46536,"$1 under $25,000",520,360,80,6106
46536,"$25,000 under $50,000",360,190,110,13193
46536,"$50,000 under $75,000",250,70,140,15460
46536,"$75,000 under $100,000",170,40,140,14717
46536,"$100,000 under $200,000",180,** ,160,23255
46536,"$200,000 or more",30,** ,30,16801
,,,,,
46538,,"2,040",850,970,"153,930"
46538,"$1 under $25,000",600,440,90,6593
46538,"$25,000 under $50,000",440,240,120,16064
46538,"$50,000 under $75,000",340,110,190,20799
46538,"$75,000 under $100,000",240,30,190,20291
46538,"$100,000 under $200,000",310,30,280,41604
46538,"$200,000 or more",110,** ,100,48579
,,,,,
46539,,"1,110",490,490,"54,179"
46539,"$1 under $25,000",390,280,70,4387
46539,"$25,000 under $50,000",300,140,90,10911
46539,"$50,000 under $75,000",180,50,120,11338
46539,"$75,000 under $100,000",120,20,100,10014
46539,"$100,000 under $200,000",120,** ,110,17529
46539,"$200,000 or more",** ,** ,** ,** 
,,,,,
46540,,"5,590","2,400","2,730","451,960"
46540,"$1 under $25,000",1640,1230,270,18415
46540,"$25,000 under $50,000",1190,640,360,44055
46540,"$50,000 under $75,000",980,310,580,61567
46540,"$75,000 under $100,000",770,150,590,66630
46540,"$100,000 under $200,000",750,70,690,98393
46540,"$200,000 or more",260,** ,240,162900
,,,,,
46542,,"2,160",940,940,"114,994"
46542,"$1 under $25,000",680,490,110,7499
46542,"$25,000 under $50,000",570,290,160,21193
46542,"$50,000 under $75,000",410,110,240,25210
46542,"$75,000 under $100,000",260,50,210,21934
46542,"$100,000 under $200,000",210,** ,190,26178
46542,"$200,000 or more",30,** ,30,12980
,,,,,
46543,,"1,680",760,820,"106,693"
46543,"$1 under $25,000",450,360,60,5087
46543,"$25,000 under $50,000",390,210,130,14561
46543,"$50,000 under $75,000",280,100,170,17771
46543,"$75,000 under $100,000",310,90,230,26374
46543,"$100,000 under $200,000",210,** ,190,25785
46543,"$200,000 or more",40,0,40,17115
,,,,,
46544,,"15,320","7,980","4,920","778,850"
46544,"$1 under $25,000",5780,4180,610,69831
46544,"$25,000 under $50,000",4370,2570,840,159457
46544,"$50,000 under $75,000",2390,890,1130,145952
46544,"$75,000 under $100,000",1320,200,1050,113885
46544,"$100,000 under $200,000",1250,140,1100,161646
46544,"$200,000 or more",210,** ,190,128079
,,,,,
46545,,"12,710","7,060","3,650","661,791"
46545,"$1 under $25,000",5090,3710,540,64783
46545,"$25,000 under $50,000",3840,2310,680,138770
46545,"$50,000 under $75,000",1800,710,860,110034
46545,"$75,000 under $100,000",880,170,660,76004
46545,"$100,000 under $200,000",870,120,720,113921
46545,"$200,000 or more",230,40,190,158279
,,,,,
46550,,"5,840","2,670","2,620","404,816"
46550,"$1 under $25,000",1820,1350,300,20341
46550,"$25,000 under $50,000",1460,810,400,54149
46550,"$50,000 under $75,000",1190,390,710,74211
46550,"$75,000 under $100,000",680,80,580,57613
46550,"$100,000 under $200,000",530,40,490,68205
46550,"$200,000 or more",160,** ,140,130297
,,,,,
46552,,"3,080","1,310","1,380","182,108"
46552,"$1 under $25,000",1050,780,150,11941
46552,"$25,000 under $50,000",650,320,190,24073
46552,"$50,000 under $75,000",440,130,240,26965
46552,"$75,000 under $100,000",390,50,300,33875
46552,"$100,000 under $200,000",480,30,430,61153
46552,"$200,000 or more",70,** ,70,24101
,,,,,
46553,,"1,730",680,880,"105,480"
46553,"$1 under $25,000",510,370,90,5839
46553,"$25,000 under $50,000",410,200,130,15130
46553,"$50,000 under $75,000",310,70,200,19375
46553,"$75,000 under $100,000",240,40,210,20713
46553,"$100,000 under $200,000",220,** ,210,28137
46553,"$200,000 or more",40,** ,40,16286
,,,,,
46554,,"2,100",910,960,"118,746"
46554,"$1 under $25,000",670,460,140,7469
46554,"$25,000 under $50,000",520,280,150,19412
46554,"$50,000 under $75,000",340,120,180,21005
46554,"$75,000 under $100,000",240,30,200,20749
46554,"$100,000 under $200,000",290,20,260,36276
46554,"$200,000 or more",40,** ,30,13835
,,,,,
46555,,"1,530",710,620,"74,724"
46555,"$1 under $25,000",560,390,90,6226
46555,"$25,000 under $50,000",400,200,120,14518
46555,"$50,000 under $75,000",250,90,140,15574
46555,"$75,000 under $100,000",160,30,120,13454
46555,"$100,000 under $200,000",130,** ,120,16162
46555,"$200,000 or more",30,** ,30,8790
,,,,,
46556,,560,410,130,"37,373"
46556,"$1 under $25,000",250,230,30,2298
46556,"$25,000 under $50,000",100,80,** ,3505
46556,"$50,000 under $75,000",50,40,20,3124
46556,"$75,000 under $100,000",30,20,** ,2799
46556,"$100,000 under $200,000",90,40,50,11970
46556,"$200,000 or more",40,** ,30,13677
,,,,,
46561,,"6,600","2,860","2,790","371,748"
46561,"$1 under $25,000",2210,1620,280,25858
46561,"$25,000 under $50,000",1600,790,400,58672
46561,"$50,000 under $75,000",1030,310,550,63641
46561,"$75,000 under $100,000",760,90,640,66365
46561,"$100,000 under $200,000",890,50,820,116125
46561,"$200,000 or more",110,** ,100,41087
,,,,,
46562,,"2,330","1,080",950,"119,581"
46562,"$1 under $25,000",840,570,160,9999
46562,"$25,000 under $50,000",650,340,170,23474
46562,"$50,000 under $75,000",360,130,200,22236
46562,"$75,000 under $100,000",230,40,180,19592
46562,"$100,000 under $200,000",210,** ,200,27332
46562,"$200,000 or more",40,** ,40,16948
,,,,,
46563,,"10,770","4,930","4,260","565,293"
46563,"$1 under $25,000",3960,2790,590,45958
46563,"$25,000 under $50,000",2950,1400,810,108267
46563,"$50,000 under $75,000",1610,510,910,98489
46563,"$75,000 under $100,000",1010,130,840,87560
46563,"$100,000 under $200,000",1040,100,930,135700
46563,"$200,000 or more",200,** ,180,89319
,,,,,
46565,,"3,820","1,830","1,780","234,911"
46565,"$1 under $25,000",1110,830,210,13379
46565,"$25,000 under $50,000",810,480,250,29467
46565,"$50,000 under $75,000",720,270,420,45098
46565,"$75,000 under $100,000",740,220,490,63058
46565,"$100,000 under $200,000",340,30,320,43042
46565,"$200,000 or more",100,** ,90,40867
,,,,,
46567,,"4,830","2,240","2,020","381,313"
46567,"$1 under $25,000",1610,1170,230,18242
46567,"$25,000 under $50,000",1110,580,320,41521
46567,"$50,000 under $75,000",790,310,370,48299
46567,"$75,000 under $100,000",500,110,370,42900
46567,"$100,000 under $200,000",570,50,510,75867
46567,"$200,000 or more",250,20,220,154484
,,,,,
46570,,480,200,230,"23,661"
46570,"$1 under $25,000",170,120,30,1965
46570,"$25,000 under $50,000",110,50,50,4276
46570,"$50,000 under $75,000",100,30,60,5878
46570,"$75,000 under $100,000",50,** ,40,4153
46570,"$100,000 under $200,000",50,0,50,7389
46570,"$200,000 or more",** ,** ,** ,** 
,,,,,
46571,,"2,370","1,130","1,160","132,291"
46571,"$1 under $25,000",710,530,150,8878
46571,"$25,000 under $50,000",520,280,200,19105
46571,"$50,000 under $75,000",480,160,310,30335
46571,"$75,000 under $100,000",410,140,270,35105
46571,"$100,000 under $200,000",220,20,200,27235
46571,"$200,000 or more",30,0,30,11633
,,,,,
46573,,"1,690",730,840,"116,015"
46573,"$1 under $25,000",530,420,80,5694
46573,"$25,000 under $50,000",370,190,120,13531
46573,"$50,000 under $75,000",310,90,200,19216
46573,"$75,000 under $100,000",210,30,190,18402
46573,"$100,000 under $200,000",200,** ,190,25840
46573,"$200,000 or more",70,** ,60,33332
,,,,,
46574,,"3,750","1,660","1,580","188,822"
46574,"$1 under $25,000",1330,940,220,15272
46574,"$25,000 under $50,000",950,440,280,35085
46574,"$50,000 under $75,000",640,190,360,39085
46574,"$75,000 under $100,000",400,50,330,34728
46574,"$100,000 under $200,000",390,40,350,49827
46574,"$200,000 or more",40,** ,40,14825
,,,,,
46580,,"10,610","4,940","4,170","586,983"
46580,"$1 under $25,000",3770,2710,530,43934
46580,"$25,000 under $50,000",2790,1400,730,100901
46580,"$50,000 under $75,000",1620,540,860,99632
46580,"$75,000 under $100,000",1030,170,810,88424
46580,"$100,000 under $200,000",1100,120,970,145067
46580,"$200,000 or more",300,** ,270,109025
,,,,,
46582,,"6,520","2,890","2,740","404,249"
46582,"$1 under $25,000",2050,1480,290,23635
46582,"$25,000 under $50,000",1530,790,370,55837
46582,"$50,000 under $75,000",1120,420,540,69054
46582,"$75,000 under $100,000",710,120,550,61972
46582,"$100,000 under $200,000",910,80,810,120685
46582,"$200,000 or more",200,** ,180,73066
,,,,,
46590,,"2,050",950,900,"156,208"
46590,"$1 under $25,000",680,520,90,7383
46590,"$25,000 under $50,000",470,260,130,16791
46590,"$50,000 under $75,000",320,90,200,19831
46590,"$75,000 under $100,000",190,30,160,16858
46590,"$100,000 under $200,000",250,50,200,33615
46590,"$200,000 or more",140,** ,120,61730
,,,,,
46601,,"2,070","1,220",280,"64,873"
46601,"$1 under $25,000",1260,790,60,15677
46601,"$25,000 under $50,000",500,310,50,17537
46601,"$50,000 under $75,000",160,80,60,9742
46601,"$75,000 under $100,000",70,40,40,6212
46601,"$100,000 under $200,000",60,** ,70,7757
46601,"$200,000 or more",20,** ,** ,7948
,,,,,
46613,,"4,830","2,330",920,"135,918"
46613,"$1 under $25,000",2590,1500,190,33304
46613,"$25,000 under $50,000",1550,650,340,54326
46613,"$50,000 under $75,000",470,140,240,28153
46613,"$75,000 under $100,000",160,40,110,13311
46613,"$100,000 under $200,000",60,** ,40,6824
46613,"$200,000 or more",** ,** ,** ,** 
,,,,,
