ID,District Name,Mailing Address,City,State,ZIP
6155,PAOLI COMMUNITY SCHOOL CORP,501 ELM ST - OFC SUPT,PAOLI,IN,47454
9680,PARAMOUNT SCHOOL OF EXCELLENCE INC,3020 NOWLAND AVE,INDIANAPOLIS,IN,46201
8025,PARKE-VERMILLION ED & TRNG INTER,PO BOX 95,HILLSDALE,IN,47854
7175,PENN-HARRIS-MADISON SCH CORP,55900 BITTERSWEET RD,MISHAWAKA,IN,46545
6325,PERRY CENTRAL COM SCHOOLS CORP,18677 OLD SR 37,LEOPOLD,IN,47551
5635,PERU COMMUNITY SCHOOLS,35 W 3RD ST,PERU,IN,46970
6445,PIKE COUNTY SCHOOL CORP,907 WALNUT ST,PETERSBURG,IN,47567
775,PIONEER REGIONAL SCHOOL CORP,PO BOX 577,ROYAL CENTER,IN,46978
3330,PLAINFIELD COMMUNITY SCH CORP,985 S LONGFELLOW DR,PLAINFIELD,IN,46168
5485,PLYMOUTH COMMUNITY SCHOOL CORP,611 BERKLEY ST,PLYMOUTH,IN,46563
6550,PORTAGE TOWNSHIP SCHOOLS,6240 US HWY 6,PORTAGE,IN,46368
6455,PORTER COUNTY EDUCATION SERVICES,750 RANSOM RD,VALPARAISO,IN,46385
6520,PORTER TOWNSHIP SCHOOL CORP,248 S 500 W,VALPARAISO,IN,46385
4515,PRAIRIE HEIGHTS COM SCH CORP,0305 S 1150 E,LAGRANGE,IN,46761
6825,RANDOLPH CENTRAL SCHOOL CORP,103 N EAST ST,WINCHESTER,IN,47394
6835,RANDOLPH EASTERN SCHOOL CORP,907 N PLUM ST,UNION CITY,IN,47390
6805,RANDOLPH SOUTHERN SCHOOL CORP,1 REBEL DR,LYNN,IN,47355
9560,REGION 8 EDUCATION SERVICE CENTER,251 W 850 N,DECATUR,IN,46733
9690,RENAISSANCE ACADEMY CHARTER SCHOOL,4093 W US 20,LAPORTE,IN,46350
3815,RENSSELAER CENTRAL SCHOOL CORP,605 GROVE ST,RENSSELAER,IN,47978
5705,RICHLAND-BEAN BLOSSOM C S C,600 S EDGEWOOD DR,ELLETTSVILLE,IN,47429
8385,RICHMOND COMMUNITY SCHOOLS,300 HUB ETCHISON PKY,RICHMOND,IN,47374
1575,RIPLEY-OHIO-DEARBORN SP ED COOP,925 N MERIDIAN ST STE 100,SUNMAN,IN,47041
6080,RISING SUN-OHIO CO COM,110 S HENRIETTA ST,RISING SUN,IN,47040
4590,RIVER FOREST COMMUNITY SCH CORP,3250 MICHIGAN ST,HOBART,IN,46342
2645,ROCHESTER COMMUNITY SCH CORP,690 ZEBRA LN BOX 108,ROCHESTER,IN,46975
9875,ROCK CREEK COMMUNITY ACADEMY,11515 HWY 31,SELLERSBURG,IN,47172
1180,ROSSVILLE CON SCHOOL DISTRICT,PO BOX 11,ROSSVILLE,IN,46065
9465,RURAL COMMUNITY SCHOOLS INC,PO BOX 85,GRAYSVILLE,IN,47852
6995,RUSH COUNTY SCHOOLS,330 W 8TH ST,RUSHVILLE,IN,46173
8205,SALEM COMMUNITY SCHOOLS,500 N HARRISON ST,SALEM,IN,47167
4670,SCHOOL CITY OF EAST CHICAGO,210 E COLUMBUS DR,EAST CHICAGO,IN,46312
