ZIP,City,County,Adjust Gross Income,Number of returns
46285,Indianapolis,Marion,2946,270
46290,Indianapolis,Hamilton,6733,190
46291,Indianapolis,Marion,8169,130
46295,Indianapolis,Marion,7695,90
46296,Indianapolis,Marion,19590,120
46298,Indianapolis,Marion,** ,** 
46301,Beverly Shores,Porter,,
46302,Boone Grove,Porter,74556,1400
46303,Cedar Lake,Lake,5299,470
46304,Chesterton,Porter,13009,360
46307,Crown Point,Lake,12982,210
46308,Crown Point,Lake,12555,150
46310,Demotte,Jasper,30711,210
46311,Dyer,Lake,** ,** 
46312,East Chicago,Lake,,
46319,Griffith,Lake,621269,10970
46320,Hammond,Lake,44911,3760
46321,Munster,Lake,104693,2880
46322,Highland,Lake,98216,1600
46323,Hammond,Lake,97450,1120
46324,Hammond,Lake,175759,1340
46325,Hammond,Lake,100240,270
46327,Hammond,Lake,,
46340,Hanna,La Porte,659292,6400
46341,Hebron,Porter,16435,1590
46342,Hobart,Lake,37717,1020
46345,Kingsbury,La Porte,55135,890
46346,Kingsford Heights,La Porte,71188,810
46347,Kouts,Porter,202238,1480
46348,La Crosse,La Porte,276579,610
46349,Lake Village,Newton,,
46350,La Porte,La Porte,66970,1160
46352,La Porte,La Porte,4548,380
46355,Leroy,Lake,10484,280
46356,Lowell,Lake,11562,190
46360,Michigan City,La Porte,10130,120
46361,Michigan City,La Porte,21541,160
46365,Mill Creek,La Porte,8705,30
46366,North Judson,Starke,,
46368,Portage,Porter,26571,520
46371,Rolling Prairie,La Porte,2111,180
46372,Roselawn,Newton,4763,130
46373,Saint John,Lake,5437,90
46374,San Pierre,Starke,5433,60
46375,Schererville,Lake,8827,60
46376,Schneider,Lake,** ,** 
46377,Shelby,Lake,,
46379,Sumava Resorts,Newton,56954,1000
46380,Tefft,Jasper,3871,330
46381,Thayer,Newton,8438,230
46382,Union Mills,La Porte,9562,150
46383,Valparaiso,Porter,11094,130
46384,Valparaiso,Porter,17443,140
46385,Valparaiso,Porter,6546,20
46390,Wanatah,La Porte,,
46391,Westville,La Porte,1377031,19860
46392,Wheatfield,Jasper,69642,6020
46393,Wheeler,Porter,166309,4510
46394,Whiting,Lake,185146,2990
46401,Gary,Lake,192765,2220
46402,Gary,Lake,449912,3360
46403,Gary,Lake,313257,760
46404,Gary,Lake,,
46405,Lake Station,Lake,1674474,17170
46406,Gary,Lake,49139,4640
46407,Gary,Lake,106883,2890
46408,Gary,Lake,134385,2170
46409,Gary,Lake,171834,1970
46410,Merrillville,Lake,544739,3960
46411,Merrillville,Lake,667494,1540
46501,Argos,Marshall,,
46502,Atwood,Kosciusko,485146,6750
46504,Bourbon,Marshall,22018,1980
46506,Bremen,Marshall,53053,1430
46507,Bristol,Elkhart,65003,1050
46508,Burket,Kosciusko,71588,820
46510,Claypool,Kosciusko,162356,1210
46511,Culver,Marshall,111128,260
46513,Donaldson,Marshall,,
46514,Elkhart,Elkhart,92862,1680
46515,Elkhart,Elkhart,6494,560
46516,Elkhart,Elkhart,14321,400
46517,Elkhart,Elkhart,16605,270
46524,Etna Green,Kosciusko,16521,190
46526,Goshen,Elkhart,29070,230
46527,Goshen,Elkhart,9851,30
46528,Goshen,Elkhart,,
46530,Granger,St Joseph,79799,1310
46531,Grovertown,Starke,4407,390
46532,Hamlet,Starke,10360,280
46534,Knox,Starke,12173,200
46536,Lakeville,St Joseph,14710,170
46537,Lapaz,Marshall,31048,240
46538,Leesburg,Kosciusko,7101,30
46539,Mentone,Kosciusko,,
46540,Middlebury,Elkhart,210050,3340
46542,Milford,Kosciusko,12727,1130
46543,Millersburg,Elkhart,29678,810
46544,Mishawaka,St Joseph,31586,510
46545,Mishawaka,St Joseph,30207,350
46546,Mishawaka,St Joseph,56896,430
46550,Nappanee,Elkhart,48956,110
46552,New Carlisle,St Joseph,,
46553,New Paris,Elkhart,49051,1000
46554,North Liberty,St Joseph,4479,370
46555,North Webster,Kosciusko,9377,260
46556,Notre Dame,St Joseph,9814,160
46561,Osceola,St Joseph,7461,90
46562,Pierceton,Kosciusko,17920,120
46563,Plymouth,Marshall,** ,** 
46565,Shipshewana,Lagrange,,
46567,Syracuse,Kosciusko,96704,1600
46570,Tippecanoe,Marshall,5888,520
46571,Topeka,Lagrange,13564,370
46572,Tyner,Marshall,16928,270
46573,Wakarusa,Elkhart,15896,180
46574,Walkerton,St Joseph,27855,210
46580,Warsaw,Kosciusko,16573,50
46581,Warsaw,Kosciusko,,
46582,Warsaw,Kosciusko,239898,4440
46590,Winona Lake,Kosciusko,18662,1600
46595,Wyatt,St Joseph,40918,1110
46601,South Bend,St Joseph,39149,640
46604,South Bend,St Joseph,41810,480
46613,South Bend,St Joseph,68815,520
46614,South Bend,St Joseph,30544,90
46615,South Bend,St Joseph,,
46616,South Bend,St Joseph,1854583,17010
46617,South Bend,St Joseph,42987,4280
46619,South Bend,St Joseph,90915,2450
46620,South Bend,St Joseph,118457,1910
46624,South Bend,St Joseph,150837,1730
46626,South Bend,St Joseph,636081,4510
46628,South Bend,St Joseph,815306,2130
46634,South Bend,St Joseph,,
46635,South Bend,St Joseph,251790,3170
46637,South Bend,St Joseph,7905,680
46660,South Bend,St Joseph,23998,640
46680,South Bend,St Joseph,35250,560
46699,South Bend,St Joseph,40954,470
46701,Albion,Noble,92346,700
46702,Andrews,Huntington,51337,120
46703,Angola,Steuben,,
46704,Arcola,Allen,41944,740
46705,Ashley,De Kalb,3018,240
46706,Auburn,De Kalb,6677,180
46710,Avilla,Noble,7894,130
46711,Berne,Adams,6416,70
46713,Bippus,Huntington,17939,120
46714,Bluffton,Wells,** ,** 
46721,Butler,De Kalb,,
46723,Churubusco,Whitley,2568102,14420
46725,Columbia City,Whitley,30323,3450
46730,Corunna,De Kalb,57939,1560
46731,Craigville,Wells,81710,1320
46732,Cromwell,Noble,99923,1140
46733,Decatur,Adams,513353,3560
46737,Fremont,Steuben,1784854,3390
46738,Garrett,De Kalb,,
46740,Geneva,Adams,22107,450
46741,Grabill,Allen,1948,160
46742,Hamilton,Steuben,4025,110
46743,Harlan,Allen,4664,80
46745,Hoagland,Allen,3718,40
46746,Howe,Lagrange,7752,60
46747,Hudson,Steuben,** ,** 
46748,Huntertown,Allen,,
46750,Huntington,Huntington,45967,870
46755,Kendallville,Noble,3804,290
46759,Keystone,Wells,8027,220
46760,Kimmell,Noble,8487,140
46761,Lagrange,Lagrange,9166,110
46763,Laotto,Noble,16483,110
46764,Larwill,Whitley,** ,** 
46765,Leo,Allen,,
46766,Liberty Center,Wells,360499,3610
46767,Ligonier,Noble,11010,1030
46769,Linn Grove,Adams,24161,650
46770,Markle,Wells,29490,480
46771,Mongo,Lagrange,34484,400
46772,Monroe,Adams,98081,710
46773,Monroeville,Allen,163273,340
46774,New Haven,Allen,,
46776,Orland,Steuben,268949,6390
46777,Ossian,Wells,30189,2420
46778,Petroleum,Wells,74843,2070
46779,Pleasant Lake,Steuben,58982,970
46780,Pleasant Mills,Adams,44295,510
46781,Poneto,Wells,45623,360
46782,Preble,Adams,15017,60
46783,Roanoke,Huntington,,
46784,Rome City,Noble,14979,240
46785,Saint Joe,De Kalb,750,70
46786,South Milford,Lagrange,2281,60
46787,South Whitley,Whitley,2425,40
46788,Spencerville,Allen,2522,30
46789,Stroh,Lagrange,7001,40
46791,Uniondale,Wells,** ,** 
46792,Warren,Huntington,,
46793,Waterloo,De Kalb,1434517,18770
46794,Wawaka,Noble,58678,5310
46795,Wolcottville,Lagrange,130289,3540
46796,Wolflake,Noble,170626,2760
46797,Woodburn,Allen,185431,2130
46798,Yoder,Allen,548700,4050
46799,Zanesville,Allen,340793,980
46801,Fort Wayne,Allen,,
46802,Fort Wayne,Allen,388350,7320
46803,Fort Wayne,Allen,29392,2360
46804,Fort Wayne,Allen,71409,1950
46805,Fort Wayne,Allen,77075,1250
46806,Fort Wayne,Allen,72458,840
46807,Fort Wayne,Allen,106468,830
46808,Fort Wayne,Allen,31548,90
46809,Fort Wayne,Allen,,
46814,Fort Wayne,Allen,49446,910
46815,Fort Wayne,Allen,3399,290
46816,Fort Wayne,Allen,8887,240
46818,Fort Wayne,Allen,9774,160
46819,Fort Wayne,Allen,9026,110
46825,Fort Wayne,Allen,18360,110
46835,Fort Wayne,Allen,** ,** 
46845,Fort Wayne,Allen,,
46850,Fort Wayne,Allen,17287,320
46851,Fort Wayne,Allen,1239,110
46852,Fort Wayne,Allen,2559,70
46853,Fort Wayne,Allen,3318,50
46854,Fort Wayne,Allen,3362,40
46855,Fort Wayne,Allen,6809,50
46856,Fort Wayne,Allen,** ,** 
46857,Fort Wayne,Allen,,
46858,Fort Wayne,Allen,147303,2430
46859,Fort Wayne,Allen,8697,730
46860,Fort Wayne,Allen,20210,550
46861,Fort Wayne,Allen,24790,400
46862,Fort Wayne,Allen,27478,320
46863,Fort Wayne,Allen,49131,380
46864,Fort Wayne,Allen,16997,50
46865,Fort Wayne,Allen,,
46866,Fort Wayne,Allen,140512,2780
46867,Fort Wayne,Allen,12152,1030
46868,Fort Wayne,Allen,25370,700
46869,Fort Wayne,Allen,26533,430
46885,Fort Wayne,Allen,25156,290
46895,Fort Wayne,Allen,36125,280
46896,Fort Wayne,Allen,15176,50
46897,Fort Wayne,Allen,,
46898,Fort Wayne,Allen,166720,2470
46899,Fort Wayne,Allen,8075,720
46901,Kokomo,Howard,21360,570
46902,Kokomo,Howard,24088,390
46903,Kokomo,Howard,27103,310
46904,Kokomo,Howard,54027,410
