ZIP,City,County,Adjust Gross Income,Number of returns
47541,Holland,Dubois,41174,480
47542,Huntingburg,Dubois,51064,400
47545,Ireland,Dubois,19334,50
47546,Jasper,Dubois,,
47547,Jasper,Dubois,704276,9080
47549,Jasper,Dubois,38426,3160
47550,Lamar,Spencer,86420,2350
47551,Leopold,Perry,81508,1350
47552,Lincoln City,Spencer,56495,660
47553,Loogootee,Martin,135129,980
47556,Mariah Hill,Spencer,306298,580
47557,Monroe City,Knox,,
47558,Montgomery,Daviess,666262,16730
47561,Oaktown,Knox,97894,7640
47562,Odon,Daviess,184039,5120
47564,Otwell,Pike,126449,2080
47567,Petersburg,Pike,79801,930
47568,Plainville,Daviess,106803,820
47573,Ragsdale,Knox,71276,140
47574,Rome,Perry,,
47575,Saint Anthony,Dubois,551529,4150
47576,Saint Croix,Perry,13284,1020
47577,Saint Meinrad,Spencer,37721,990
47578,Sandborn,Knox,50494,830
47579,Santa Claus,Spencer,33246,390
47580,Schnellville,Dubois,74721,550
47581,Shoals,Martin,342063,370
47584,Spurgeon,Pike,,
47585,Stendal,Pike,782503,13660
47586,Tell City,Perry,69752,5360
47588,Troy,Spencer,146421,4090
47590,Velpen,Pike,99672,1640
47591,Vincennes,Knox,72408,840
47596,Westphalia,Knox,162900,1190
47597,Wheatland,Knox,231350,540
47598,Winslow,Pike,,
47601,Boonville,Warrick,531557,9240
47610,Chandler,Warrick,55186,4340
47611,Chrisney,Spencer,83933,2380
47612,Cynthiana,Posey,53956,890
47613,Elberfeld,Warrick,39771,460
47614,Folsomville,Warrick,99420,720
47615,Grandview,Spencer,199291,450
47616,Griffin,Posey,,
47617,Hatfield,Spencer,511960,12410
47618,Inglefield,Vanderburgh,62335,4760
47619,Lynnville,Warrick,150376,4210
47620,Mount Vernon,Posey,106001,1740
47629,Newburgh,Warrick,71544,830
47630,Newburgh,Warrick,101984,800
47631,New Harmony,Posey,19720,70
47633,Poseyville,Posey,,
47634,Richland,Spencer,78082,1240
47635,Rockport,Spencer,4995,420
47637,Tennyson,Warrick,11275,310
47638,Wadesville,Posey,11815,190
47639,Haubstadt,Gibson,11437,130
47640,Hazleton,Gibson,19554,140
47647,Buckskin,Gibson,19006,50
47648,Fort Branch,Gibson,,
47649,Francisco,Gibson,954949,16530
47654,Mackey,Gibson,58120,4810
47660,Oakland City,Gibson,171879,4720
47665,Owensville,Gibson,171636,2790
47666,Patoka,Gibson,147253,1700
47670,Princeton,Gibson,282267,2150
47683,Somerville,Gibson,123794,360
47701,Evansville,Vanderburgh,,
47702,Evansville,Vanderburgh,318114,12690
47703,Evansville,Vanderburgh,99857,7780
47704,Evansville,Vanderburgh,127207,3650
47705,Evansville,Vanderburgh,51072,860
47706,Evansville,Vanderburgh,22812,270
47708,Evansville,Vanderburgh,17166,130
47710,Evansville,Vanderburgh,** ,** 
47711,Evansville,Vanderburgh,,
47712,Evansville,Vanderburgh,725124,17310
47713,Evansville,Vanderburgh,92011,7160
47714,Evansville,Vanderburgh,192693,5350
47715,Evansville,Vanderburgh,144489,2360
47716,Evansville,Vanderburgh,103335,1200
47719,Evansville,Vanderburgh,141313,1100
47720,Evansville,Vanderburgh,51283,140
47721,Evansville,Vanderburgh,,
47722,Evansville,Vanderburgh,1770821,19750
47724,Evansville,Vanderburgh,60786,4950
47725,Evansville,Vanderburgh,184531,4930
47727,Evansville,Vanderburgh,187773,3070
47728,Evansville,Vanderburgh,163110,1880
47730,Evansville,Vanderburgh,453549,3310
47731,Evansville,Vanderburgh,721072,1610
47732,Evansville,Vanderburgh,,
47733,Evansville,Vanderburgh,505729,12520
47734,Evansville,Vanderburgh,63830,5030
47735,Evansville,Vanderburgh,142045,3940
47736,Evansville,Vanderburgh,111049,1820
47737,Evansville,Vanderburgh,80148,930
47739,Evansville,Vanderburgh,94218,750
47740,Evansville,Vanderburgh,14439,50
47741,Evansville,Vanderburgh,,
47744,Evansville,Vanderburgh,403997,14460
47747,Evansville,Vanderburgh,103313,7930
47750,Evansville,Vanderburgh,165607,4760
47801,Terre Haute,Vigo,69343,1160
47802,Terre Haute,Vigo,30272,360
47803,Terre Haute,Vigo,35462,250
47804,Terre Haute,Vigo,** ,** 
47805,Terre Haute,Vigo,,
47807,Terre Haute,Vigo,608394,17000
47808,Terre Haute,Vigo,105094,7810
47809,Terre Haute,Vigo,203321,5780
47811,Terre Haute,Vigo,110267,1840
47812,Terre Haute,Vigo,67543,790
47813,Terre Haute,Vigo,89438,700
47814,Terre Haute,Vigo,32731,80
47830,Bellmore,Parke,,
47831,Blanford,Vermillion,99519,2920
47832,Bloomingdale,Parke,18731,1440
47833,Bowling Green,Clay,33682,950
47834,Brazil,Clay,19344,320
47836,Bridgeton,Parke,9355,110
47837,Carbon,Clay,18407,100
47838,Carlisle,Sullivan,** ,** 
47840,Centerpoint,Clay,,
47841,Clay City,Clay,775958,20120
47842,Clinton,Vermillion,132883,10050
47845,Coalmont,Clay,221156,6260
47846,Cory,Clay,122066,2010
47847,Dana,Vermillion,76826,890
47848,Dugger,Sullivan,95830,740
47849,Fairbanks,Sullivan,127197,170
47850,Farmersburg,Sullivan,,
47851,Fontanet,Vigo,1119609,26730
47852,Graysville,Sullivan,139606,10730
47853,Harmony,Clay,307338,8670
47854,Hillsdale,Vermillion,223656,3660
47855,Hymera,Sullivan,150093,1740
47856,Judson,Parke,221723,1730
47857,Knightsville,Clay,77193,200
47858,Lewis,Vigo,,
47859,Marshall,Parke,529676,7770
47860,Mecca,Parke,31683,2590
47861,Merom,Sullivan,70939,1950
47862,Montezuma,Parke,69124,1130
47863,New Goshen,Vigo,66446,770
47864,New Lebanon,Sullivan,131968,980
47865,Paxton,Sullivan,159516,350
47866,Pimento,Vigo,,
47868,Poland,Owen,552057,13680
47869,Prairie Creek,Vigo,73720,5740
47870,Prairieton,Vigo,153905,4270
47871,Riley,Vigo,111261,1820
47872,Rockville,Parke,81591,940
47874,Rosedale,Parke,105879,840
47875,Saint Bernice,Vermillion,25701,70
47876,Saint Mary Of The Woods,Vigo,,
47878,Seelyville,Vigo,245846,5150
47879,Shelburn,Sullivan,22262,1800
47880,Shepardsville,Vigo,53812,1480
47881,Staunton,Clay,53581,870
47882,Sullivan,Sullivan,39154,450
47884,Universal,Vermillion,65982,510
47885,West Terre Haute,Vigo,11055,40
47901,Lafayette,Tippecanoe,,
47902,Lafayette,Tippecanoe,799345,13110
47903,Lafayette,Tippecanoe,48804,4000
47904,Lafayette,Tippecanoe,123756,3390
47905,Lafayette,Tippecanoe,131231,2130
47906,West Lafayette,Tippecanoe,126009,1450
47907,West Lafayette,Tippecanoe,238649,1800
47909,Lafayette,Tippecanoe,130896,340
47916,Alamo,Montgomery,,
47917,Ambia,Benton,496460,14680
47918,Attica,Fountain,91233,7100
47920,Battle Ground,Tippecanoe,163509,4590
47921,Boswell,Benton,101599,1680
47922,Brook,Newton,64258,750
47923,Brookston,White,69067,540
47924,Buck Creek,Tippecanoe,6794,20
47925,Buffalo,White,,
47926,Burnettsville,White,1292060,13620
47928,Cayuga,Vermillion,42496,3820
47929,Chalmers,White,97066,2620
47930,Clarks Hill,Tippecanoe,118855,1920
47932,Covington,Fountain,130918,1510
47933,Crawfordsville,Montgomery,362418,2640
47934,Crawfordsville,Montgomery,540307,1110
47935,Crawfordsville,Montgomery,,
47936,Crawfordsville,Montgomery,1235714,21110
47937,Crawfordsville,Montgomery,78965,6440
47938,Crawfordsville,Montgomery,202149,5520
47939,Crawfordsville,Montgomery,224168,3650
47940,Darlington,Montgomery,199750,2300
47941,Dayton,Tippecanoe,361511,2740
47942,Earl Park,Benton,169171,460
47943,Fair Oaks,Jasper,,
47944,Fowler,Benton,866896,14770
47946,Francesville,Pulaski,51613,4380
47948,Goodland,Newton,132830,3590
47949,Hillsboro,Fountain,157569,2550
47950,Idaville,White,151775,1750
47951,Kentland,Newton,290868,2240
47952,Kingman,Fountain,82241,260
47954,Ladoga,Montgomery,,
47955,Linden,Montgomery,1211480,11420
47957,Medaryville,Pulaski,41814,3310
47958,Mellott,Fountain,110640,3030
47959,Monon,White,105298,1720
47960,Monticello,White,80428,930
47962,Montmorenci,Tippecanoe,204599,1490
47963,Morocco,Newton,668701,940
47964,Mount Ayr,Newton,,
47965,New Market,Montgomery,461837,14100
47966,Newport,Vermillion,88085,6790
47967,New Richmond,Montgomery,164989,4640
47968,New Ross,Montgomery,97237,1610
47969,Newtown,Fountain,54595,640
47970,Otterbein,Benton,48322,390
47971,Oxford,Benton,8609,30
47974,Perrysville,Vermillion,,
47975,Pine Village,Warren,828576,10780
47977,Remington,Jasper,39657,3070
47978,Rensselaer,Jasper,123587,3370
47980,Reynolds,White,100592,1650
47981,Romney,Tippecanoe,69707,800
47982,State Line,Warren,175212,1280
47983,Stockwell,Tippecanoe,319821,610
47984,Talbot,Benton,,
47986,Templeton,Benton,809159,19360
47987,Veedersburg,Fountain,102149,7750
47988,Wallace,Fountain,240636,6710
47989,Waveland,Montgomery,155355,2580
47990,Waynetown,Montgomery,95754,1110
47991,West Lebanon,Warren,131207,1010
47992,Westpoint,Tippecanoe,84058,200
47993,Williamsport,Warren,,
47994,Wingate,Montgomery,1127382,12000
47995,Wolcott,White,39519,3410
47996,West Lafayette,Tippecanoe,94030,2570
47997,Yeoman,Carroll,100601,1620
,,,103175,1190
,,,309099,2260
,,,480958,950
,,,,
,,,550937,6140
,,,16798,1640
,,,33796,920
,,,47937,770
,,,64333,740
,,,219992,1590
,,,168081,480
,,,,
,,,1322083,16870
,,,80486,6180
,,,165288,4620
,,,122658,2020
,,,100991,1170
,,,245259,1800
,,,607401,1080
,,,,
,,,638936,13470
,,,61604,4790
,,,154847,4260
,,,124885,2050
,,,92577,1070
,,,150641,1150
,,,54382,150
,,,,
,,,636101,4510
,,,12099,1160
,,,25463,690
,,,32897,540
,,,35188,400
,,,144392,1010
,,,386062,710
,,,,
,,,300411,4240
,,,14027,1150
,,,37056,990
,,,48465,790
,,,41194,480
,,,88616,660
,,,71053,170
,,,,
,,,38446,150
,,,279,30
,,,1937,40
,,,** ,** 
,,,** ,** 
,,,4663,30
,,,31567,50
,,,,
,,,482972,7700
,,,27476,2380
,,,59666,1620
,,,75363,1210
,,,86560,1000
,,,172583,1330
,,,61324,160
,,,,
,,,971860,12830
,,,45079,3980
,,,85874,2360
,,,111673,1790
,,,136404,1560
,,,339792,2530
,,,253038,610
,,,,
,,,2470257,32860
,,,108598,9870
,,,215015,5830
,,,296100,4770
,,,347745,4000
,,,931396,6930
,,,571403,1460
,,,,
,,,362223,6510
,,,24973,2250
,,,48636,1330
,,,66387,1070
,,,68785,800
,,,126131,970
,,,27311,90
,,,,
,,,947483,11190
,,,34587,3130
,,,70962,1920
,,,103927,1680
,,,121714,1400
,,,327409,2440
,,,288884,620
,,,,
,,,306841,10090
,,,73032,5660
,,,95157,2720
,,,56363,930
,,,38334,450
,,,43955,330
,,,** ,** 
,,,,
,,,464542,9090
,,,39006,3190
,,,81897,2250
,,,95718,1560
,,,82594,950
,,,136008,1050
,,,29319,90
,,,,
,,,147899,5020
,,,37422,2830
,,,50540,1440
,,,26024,430
,,,15672,180
,,,18241,140
,,,** ,** 
,,,,
,,,1144722,11910
,,,35349,3400
,,,71074,1930
,,,96281,1540
,,,120310,1380
,,,359339,2610
,,,462369,1050
,,,,
,,,727030,12490
,,,45071,3900
,,,103502,2810
,,,138729,2240
,,,134612,1550
,,,233801,1790
,,,71315,200
,,,,
,,,402429,10150
,,,54174,4290
,,,105469,2920
,,,95756,1560
,,,68952,800
,,,69915,550
,,,8163,30
,,,,
,,,397144,9820
,,,53375,4160
,,,99455,2780
,,,91432,1490
,,,65009,760
,,,75040,590
,,,12833,40
,,,,
,,,151769,4490
,,,28078,2160
,,,50085,1390
,,,34415,560
,,,19413,230
,,,19778,150
,,,** ,** 
,,,,
,,,33903,580
,,,2129,180
,,,4835,130
,,,6245,100
,,,6367,70
,,,14327,100
,,,** ,** 
,,,,
,,,320031,5040
,,,19335,1670
,,,34809,950
,,,44864,720
,,,57364,660
,,,123048,940
,,,40611,100
,,,,
,,,813921,15800
,,,66722,5670
,,,133787,3660
,,,156973,2530
,,,156268,1810
,,,251928,1960
,,,48243,170
,,,,
,,,142245,2240
,,,7832,690
,,,15974,430
,,,21154,340
,,,26934,310
,,,56727,430
,,,13624,40
,,,,
,,,28532,510
,,,2307,190
,,,3855,110
,,,4513,70
,,,5055,60
,,,12802,80
,,,** ,** 
,,,,
,,,86710,1520
,,,6149,530
,,,12653,340
,,,12571,200
,,,17755,200
,,,37582,250
,,,** ,** 
,,,,
,,,1200816,20590
,,,89713,7550
,,,176862,4870
,,,178357,2900
,,,185125,2130
,,,344343,2640
,,,226416,500
,,,,
,,,558028,8890
,,,31833,2780
,,,62729,1730
,,,84598,1360
,,,100484,1150
,,,223123,1710
,,,55261,160
,,,,
,,,930364,19970
,,,112180,8970
,,,182907,5100
,,,155946,2520
,,,125926,1460
,,,203246,1550
,,,150159,370
,,,,
,,,28814,540
,,,2142,180
,,,4410,120
,,,4967,80
,,,5748,70
,,,11547,90
,,,** ,** 
,,,,
,,,121935,2560
,,,11771,1020
,,,22043,610
,,,23534,380
,,,23522,270
,,,31713,250
,,,9352,30
,,,,
,,,1017352,19120
,,,86734,7130
,,,160055,4400
,,,170360,2750
,,,181522,2100
,,,322996,2480
,,,95685,260
,,,,
,,,104248,1790
,,,6731,600
,,,12419,340
,,,18665,300
,,,21282,240
,,,36259,280
,,,8892,30
,,,,
,,,808640,8220
,,,21533,2130
,,,39336,1060
,,,60875,980
,,,87375,1000
,,,316153,2280
,,,283368,770
,,,,
,,,23669,460
,,,2021,160
,,,3515,100
,,,4773,80
,,,5635,60
,,,7725,60
,,,** ,** 
,,,,
,,,985586,12650
,,,41967,3720
,,,85516,2320
,,,111305,1790
,,,129810,1490
,,,367171,2690
,,,249817,640
,,,,
,,,4921,130
,,,589,60
,,,2180,50
,,,** ,** 
,,,2152,20
,,,** ,** 
,,,0,0
,,,,
,,,64366,1030
,,,3445,310
,,,8158,220
,,,11423,180
,,,11407,130
,,,21869,170
,,,8064,20
,,,,
,,,1368240,18830
,,,70741,6090
,,,140008,3800
,,,163672,2640
,,,182787,2100
,,,459851,3420
,,,351181,780
,,,,
,,,1742331,19990
,,,65947,5980
,,,125463,3410
,,,171582,2760
,,,210788,2410
,,,570548,4190
,,,598003,1240
,,,,
,,,80568,1390
,,,4843,410
,,,9965,270
,,,15751,260
,,,19528,230
,,,30481,220
,,,** ,** 
,,,,
,,,191906,2990
,,,11057,940
,,,23995,660
,,,27356,440
,,,27448,310
,,,73395,550
,,,28655,90
,,,,
,,,210341,3640
,,,13988,1250
,,,25693,690
,,,33784,550
,,,43136,500
,,,75609,590
,,,18131,60
,,,,
,,,263552,5590
,,,26816,2140
,,,54670,1500
,,,53995,880
,,,44281,510
,,,65014,490
,,,18776,70
,,,,
,,,45614,1890
,,,16512,1290
,,,14407,420
,,,6252,100
,,,4604,50
,,,3839,30
,,,** ,** 
,,,,
,,,216637,4980
,,,30506,2410
,,,41752,1170
,,,34780,560
,,,32356,370
,,,51679,390
,,,25564,80
,,,,
,,,199743,6450
,,,47282,3670
,,,58630,1670
,,,35480,580
,,,25609,300
,,,32742,230
,,,** ,** 
,,,,
,,,186393,5130
,,,29456,2400
,,,50349,1410
,,,42664,700
,,,32557,380
,,,31367,240
,,,** ,** 
,,,,
,,,91762,3310
,,,24848,2000
,,,29118,830
,,,17378,290
,,,9511,110
,,,10907,80
,,,** ,** 
,,,,
,,,99329,3810
,,,30243,2420
,,,31309,900
,,,16925,280
,,,11084,130
,,,9768,80
,,,** ,** 
,,,,
,,,206282,6170
,,,40630,3210
,,,59048,1670
,,,40832,670
,,,29846,350
,,,35926,270
,,,** ,** 
,,,,
,,,76467,2700
,,,21891,1660
,,,22703,650
,,,14036,230
,,,7731,90
,,,10106,70
,,,** ,** 
,,,,
,,,865041,18480
,,,88413,7120
,,,174281,4820
,,,181270,2950
,,,155170,1790
,,,213171,1650
,,,52736,150
,,,,
,,,75693,1700
,,,7326,630
,,,18528,500
,,,16112,260
,,,14345,170
,,,19382,140
,,,** ,** 
,,,,
,,,82965,1580
,,,5871,510
,,,15479,420
,,,17411,280
,,,17226,200
,,,17872,140
,,,9106,30
,,,,
,,,284972,4770
,,,16213,1520
,,,45111,1210
,,,55326,900
,,,45239,520
,,,64802,500
,,,58281,120
,,,,
,,,573648,4610
,,,16186,1380
,,,43739,1190
,,,44594,720
,,,42662,490
,,,70557,530
,,,355910,300
,,,,
,,,83202,1590
,,,6090,540
,,,14308,400
,,,17449,280
,,,14276,160
,,,24167,190
,,,6912,20
,,,,
,,,116549,1890
,,,7632,690
,,,15566,430
,,,16768,270
,,,16686,200
,,,30255,230
,,,29642,70
,,,,
,,,1218153,20360
,,,87358,7020
,,,226287,6220
,,,199858,3270
,,,146640,1700
,,,215379,1660
,,,342631,490
,,,,
,,,727120,15080
,,,74239,5850
,,,179994,5000
,,,133712,2210
,,,86433,1000
,,,99541,780
,,,153201,240
,,,,
,,,544500,10600
,,,46999,3840
,,,119411,3280
,,,100174,1640
,,,75979,880
,,,104288,810
,,,97649,150
,,,,
,,,49959,1010
,,,3962,310
,,,9786,270
,,,16391,270
,,,7436,90
,,,12384,70
,,,** ,** 
,,,,
,,,862941,14980
,,,55659,4810
,,,160147,4330
,,,165297,2680
,,,128402,1490
,,,171535,1330
,,,181901,340
,,,,
,,,735569,11920
,,,40934,3620
,,,114889,3100
,,,131703,2130
,,,122327,1420
,,,168833,1310
,,,156883,340
,,,,
,,,1726823,14730
,,,38252,4000
,,,81278,2200
,,,110531,1770
,,,144176,1650
,,,459468,3340
,,,893118,1770
,,,,
,,,31234,670
,,,2603,230
,,,6402,180
,,,7184,120
,,,6082,70
,,,8963,70
,,,** ,** 
,,,,
,,,37038,800
,,,3835,310
,,,6885,190
,,,9200,150
,,,6603,80
,,,10515,70
,,,** ,** 
,,,,
,,,221363,4830
,,,23681,1940
,,,48349,1320
,,,44970,740
,,,36581,430
,,,46485,360
,,,21297,40
,,,,
,,,89532,1510
,,,6106,520
,,,13193,360
,,,15460,250
,,,14717,170
,,,23255,180
,,,16801,30
,,,,
,,,153930,2040
,,,6593,600
,,,16064,440
,,,20799,340
,,,20291,240
,,,41604,310
,,,48579,110
,,,,
,,,54179,1110
,,,4387,390
,,,10911,300
,,,11338,180
,,,10014,120
,,,17529,120
,,,** ,** 
,,,,
,,,451960,5590
,,,18415,1640
,,,44055,1190
,,,61567,980
,,,66630,770
,,,98393,750
,,,162900,260
,,,,
,,,114994,2160
,,,7499,680
,,,21193,570
,,,25210,410
,,,21934,260
,,,26178,210
,,,12980,30
,,,,
,,,106693,1680
,,,5087,450
,,,14561,390
,,,17771,280
,,,26374,310
,,,25785,210
,,,17115,40
,,,,
,,,778850,15320
,,,69831,5780
,,,159457,4370
,,,145952,2390
,,,113885,1320
,,,161646,1250
,,,128079,210
,,,,
,,,661791,12710
,,,64783,5090
,,,138770,3840
,,,110034,1800
,,,76004,880
,,,113921,870
,,,158279,230
,,,,
,,,404816,5840
,,,20341,1820
,,,54149,1460
,,,74211,1190
,,,57613,680
,,,68205,530
,,,130297,160
,,,,
,,,182108,3080
,,,11941,1050
,,,24073,650
,,,26965,440
,,,33875,390
,,,61153,480
,,,24101,70
,,,,
,,,105480,1730
,,,5839,510
,,,15130,410
,,,19375,310
,,,20713,240
,,,28137,220
,,,16286,40
,,,,
,,,118746,2100
,,,7469,670
,,,19412,520
,,,21005,340
,,,20749,240
,,,36276,290
,,,13835,40
,,,,
,,,74724,1530
,,,6226,560
,,,14518,400
,,,15574,250
,,,13454,160
,,,16162,130
,,,8790,30
,,,,
,,,37373,560
,,,2298,250
,,,3505,100
,,,3124,50
,,,2799,30
,,,11970,90
,,,13677,40
,,,,
,,,371748,6600
,,,25858,2210
,,,58672,1600
,,,63641,1030
,,,66365,760
,,,116125,890
,,,41087,110
,,,,
,,,119581,2330
,,,9999,840
,,,23474,650
,,,22236,360
,,,19592,230
,,,27332,210
,,,16948,40
,,,,
,,,565293,10770
,,,45958,3960
,,,108267,2950
,,,98489,1610
,,,87560,1010
,,,135700,1040
,,,89319,200
,,,,
,,,234911,3820
,,,13379,1110
,,,29467,810
,,,45098,720
,,,63058,740
,,,43042,340
,,,40867,100
,,,,
,,,381313,4830
,,,18242,1610
,,,41521,1110
,,,48299,790
,,,42900,500
,,,75867,570
,,,154484,250
,,,,
,,,23661,480
,,,1965,170
,,,4276,110
,,,5878,100
,,,4153,50
,,,7389,50
,,,** ,** 
,,,,
,,,132291,2370
,,,8878,710
,,,19105,520
,,,30335,480
,,,35105,410
,,,27235,220
,,,11633,30
,,,,
,,,116015,1690
,,,5694,530
,,,13531,370
,,,19216,310
,,,18402,210
,,,25840,200
,,,33332,70
,,,,
,,,188822,3750
,,,15272,1330
,,,35085,950
,,,39085,640
,,,34728,400
,,,49827,390
,,,14825,40
,,,,
,,,586983,10610
,,,43934,3770
,,,100901,2790
,,,99632,1620
,,,88424,1030
,,,145067,1100
,,,109025,300
,,,,
,,,404249,6520
,,,23635,2050
,,,55837,1530
,,,69054,1120
,,,61972,710
,,,120685,910
,,,73066,200
,,,,
,,,156208,2050
,,,7383,680
,,,16791,470
,,,19831,320
,,,16858,190
,,,33615,250
,,,61730,140
,,,,
,,,64873,2070
,,,15677,1260
,,,17537,500
,,,9742,160
,,,6212,70
,,,7757,60
,,,7948,20
,,,,
,,,135918,4830
,,,33304,2590
,,,54326,1550
,,,28153,470
,,,13311,160
,,,6824,60
,,,** ,** 
,,,,
,,,914728,15230
,,,65605,5470
,,,144553,3960
,,,141546,2300
,,,124737,1440
,,,205528,1590
,,,232759,470
,,,,
,,,312483,7130
,,,38854,3040
,,,76209,2120
,,,62013,1020
,,,38703,450
,,,50992,400
,,,45712,100
,,,,
,,,118161,2800
,,,16719,1310
,,,29603,830
,,,20286,340
,,,13789,160
,,,15274,120
,,,22490,40
,,,,
,,,353481,4490
,,,19103,1580
,,,37764,1060
,,,39830,650
,,,30277,350
,,,75144,550
,,,151363,300
,,,,
,,,352862,9510
,,,58910,4550
,,,100803,2820
,,,69050,1130
,,,45594,530
,,,57106,450
,,,21399,30
,,,,
,,,577108,12470
,,,68888,5570
,,,112693,3140
,,,93723,1530
,,,79938,930
,,,139889,1070
,,,81977,230
,,,,
,,,175716,3060
,,,12793,1080
,,,26068,710
,,,31094,510
,,,27713,320
,,,47732,360
,,,30316,80
,,,,
,,,396427,7530
,,,33674,2790
,,,74179,2040
,,,68831,1120
,,,56324,650
,,,96402,740
,,,67017,190
,,,,
,,,193680,3550
,,,13533,1160
,,,34432,920
,,,37616,610
,,,34279,400
,,,52789,410
,,,21031,50
,,,,
,,,49959,1070
,,,4764,410
,,,10625,290
,,,10719,170
,,,8970,100
,,,14881,100
,,,** ,** 
,,,,
,,,489788,8520
,,,38471,3230
,,,80517,2230
,,,70767,1150
,,,67044,770
,,,116601,890
,,,116388,250
,,,,
,,,37613,860
,,,3958,330
,,,8517,240
,,,8465,140
,,,6998,80
,,,9675,70
,,,** ,** 
,,,,
,,,597450,9740
,,,39506,3360
,,,89832,2460
,,,88346,1440
,,,88134,1020
,,,156121,1190
,,,135511,270
,,,,
,,,122482,2220
,,,8843,740
,,,19597,530
,,,23525,380
,,,24941,290
,,,31076,240
,,,14500,40
,,,,
,,,166547,3120
,,,13689,1180
,,,30848,850
,,,28891,470
,,,24075,280
,,,34859,270
,,,34185,70
,,,,
,,,379446,7040
,,,30535,2710
,,,64491,1790
,,,62997,1020
,,,59314,680
,,,89720,680
,,,72389,160
,,,,
,,,102714,2210
,,,9196,800
,,,23521,650
,,,21663,350
,,,19962,230
,,,28372,180
,,,** ,** 
,,,,
,,,218689,3710
,,,14238,1240
,,,33657,910
,,,35072,570
,,,39472,460
,,,56930,440
,,,39320,90
,,,,
,,,672980,11730
,,,44619,3940
,,,104865,2870
,,,115756,1870
,,,111512,1290
,,,198516,1520
,,,97712,240
,,,,
,,,39171,630
,,,2653,210
,,,5622,150
,,,6758,110
,,,6058,70
,,,18080,90
,,,** ,** 
,,,,
,,,17565,290
,,,1080,90
,,,2386,60
,,,3369,50
,,,3405,40
,,,7325,50
,,,** ,** 
,,,,
,,,62121,1430
,,,6066,520
,,,15831,430
,,,15050,250
,,,11160,130
,,,14014,100
,,,** ,** 
,,,,
,,,471975,8960
,,,36196,3210
,,,88138,2400
,,,83683,1360
,,,81970,950
,,,113960,890
,,,68028,150
,,,,
,,,231803,3520
,,,13983,1170
,,,32493,890
,,,35001,560
,,,31329,370
,,,51701,390
,,,67296,140
,,,,
,,,176191,3890
,,,18003,1520
,,,40856,1120
,,,37156,610
,,,29028,340
,,,34817,270
,,,16331,30
,,,,
,,,64176,1500
,,,7958,630
,,,16259,450
,,,13169,220
,,,9586,110
,,,17204,90
,,,** ,** 
,,,,
,,,108525,1820
,,,7609,620
,,,18921,530
,,,17315,280
,,,12998,150
,,,23974,180
,,,27708,60
,,,,
,,,99319,1610
,,,6393,540
,,,14047,380
,,,15025,240
,,,16082,180
,,,30092,220
,,,17680,50
,,,,
,,,53393,1040
,,,4394,360
,,,9352,250
,,,10945,180
,,,9572,110
,,,19130,140
,,,** ,** 
,,,,
,,,58502,960
,,,3081,290
,,,8008,220
,,,8582,140
,,,11356,130
,,,19275,150
,,,8200,30
,,,,
,,,99359,1890
,,,7546,630
,,,18686,520
,,,21537,350
,,,16426,190
,,,21655,170
,,,13509,30
,,,,
,,,62988,1210
,,,5301,430
,,,12095,330
,,,10935,180
,,,10977,130
,,,14496,120
,,,9184,20
,,,,
,,,298712,3240
,,,9450,910
,,,25192,690
,,,30622,500
,,,31798,370
,,,66531,500
,,,135119,270
,,,,
,,,605375,12430
,,,57221,4860
,,,115899,3200
,,,113233,1840
,,,100796,1170
,,,151218,1180
,,,67008,180
,,,,
,,,356810,7330
,,,32282,2800
,,,73126,2010
,,,70611,1150
,,,57345,670
,,,74797,590
,,,48649,110
,,,,
,,,11824,260
,,,950,80
,,,2864,80
,,,3261,50
,,,2148,30
,,,2601,20
,,,** ,** 
,,,,
,,,29881,610
,,,2217,190
,,,6625,180
,,,6571,110
,,,5794,70
,,,8674,60
,,,** ,** 
,,,,
,,,272564,5310
,,,21459,1820
,,,49034,1340
,,,62565,1000
,,,58440,690
,,,49992,390
,,,31074,70
,,,,
,,,50033,810
,,,2776,250
,,,6634,180
,,,8267,130
,,,9283,110
,,,15585,120
,,,7488,20
,,,,
,,,37066,690
,,,2812,250
,,,6003,170
,,,6479,110
,,,5874,70
,,,15898,90
,,,** ,** 
,,,,
,,,209809,2620
,,,8402,850
,,,15810,420
,,,20922,340
,,,26749,300
,,,76273,560
,,,61653,150
,,,,
,,,12034,250
,,,960,80
,,,1915,50
,,,3443,60
,,,5716,60
,,,** ,** 
,,,** ,** 
,,,,
,,,179492,3780
,,,14210,1170
,,,44897,1200
,,,43837,710
,,,37135,430
,,,30072,240
,,,9341,30
,,,,
,,,77671,1290
,,,4843,400
,,,11490,310
,,,13665,220
,,,13662,160
,,,22652,170
,,,11359,30
,,,,
,,,58782,1240
,,,5552,460
,,,14219,400
,,,10530,170
,,,9735,110
,,,18746,100
,,,** ,** 
,,,,
,,,98123,1800
,,,7214,620
,,,15926,430
,,,19023,310
,,,19547,220
,,,25472,190
,,,10941,30
,,,,
,,,417949,8500
,,,37646,3130
,,,80631,2200
,,,83438,1360
,,,78342,900
,,,104351,820
,,,33541,90
,,,,
,,,32680,740
,,,3526,280
,,,8293,230
,,,8103,130
,,,4484,50
,,,8274,50
,,,** ,** 
,,,,
,,,178448,3130
,,,11890,1020
,,,27166,750
,,,31024,500
,,,34567,400
,,,51388,400
