ZIP,Adjust Gross Income,Number of returns,Amount
46071,5888,520,5974
46071,13564,370,13738
46071,16928,270,17276
46071,15896,180,16042
46071,27855,210,28131
46071,16573,50,16873
,,,
46072,"239,898","4,440","244,026"
46072,18662,1600,18943
46072,40918,1110,41316
46072,39149,640,39619
46072,41810,480,42185
46072,68815,520,69843
46072,30544,90,32120
,,,
46074,"1,854,583","17,010","1,877,891"
46074,42987,4280,43791
46074,90915,2450,92401
46074,118457,1910,120092
46074,150837,1730,152809
46074,636081,4510,642616
46074,815306,2130,826182
,,,
46075,"251,790","3,170","254,916"
46075,7905,680,8064
46075,23998,640,24381
46075,35250,560,35706
46075,40954,470,41355
46075,92346,700,93414
46075,51337,120,51996
,,,
46076,"41,944",740,"42,448"
46076,3018,240,3047
46076,6677,180,6829
46076,7894,130,7984
46076,6416,70,6416
46076,17939,120,18172
46076,** ,** ,** 
,,,
46077,"2,568,102","14,420","2,614,093"
46077,30323,3450,31404
46077,57939,1560,59367
46077,81710,1320,83411
46077,99923,1140,101389
46077,513353,3560,520606
46077,1784854,3390,1817916
,,,
46104,"22,107",450,"22,383"
46104,1948,160,1948
46104,4025,110,4081
46104,4664,80,4740
46104,3718,40,3718
46104,7752,60,7896
46104,** ,** ,** 
,,,
46105,"45,967",870,"46,408"
46105,3804,290,3848
46105,8027,220,8102
46105,8487,140,8584
46105,9166,110,9218
46105,16483,110,16656
46105,** ,** ,** 
,,,
46106,"360,499","3,610","365,714"
46106,11010,1030,11161
46106,24161,650,24495
46106,29490,480,29933
46106,34484,400,34911
46106,98081,710,99279
46106,163273,340,165935
,,,
46107,"268,949","6,390","270,861"
46107,30189,2420,30532
46107,74843,2070,75400
46107,58982,970,59311
46107,44295,510,44653
46107,45623,360,45948
46107,15017,60,15017
,,,
46110,"14,979",240,"15,073"
46110,750,70,787
46110,2281,60,2281
46110,2425,40,2482
46110,2522,30,2522
46110,7001,40,7001
46110,** ,** ,** 
,,,
46112,"1,434,517","18,770","1,452,143"
46112,58678,5310,59603
46112,130289,3540,132033
46112,170626,2760,172649
46112,185431,2130,187254
46112,548700,4050,554140
46112,340793,980,346464
,,,
46113,"388,350","7,320","391,689"
46113,29392,2360,29758
46113,71409,1950,72036
46113,77075,1250,77735
46113,72458,840,72964
46113,106468,830,107234
46113,31548,90,31962
,,,
46115,"49,446",910,"50,129"
46115,3399,290,3467
46115,8887,240,8997
46115,9774,160,9880
46115,9026,110,9083
46115,18360,110,18702
46115,** ,** ,** 
,,,
46117,"17,287",320,"17,415"
46117,1239,110,1239
46117,2559,70,2610
46117,3318,50,3318
46117,3362,40,3439
46117,6809,50,6809
46117,** ,** ,** 
,,,
46118,"147,303","2,430","149,000"
46118,8697,730,8788
46118,20210,550,20467
46118,24790,400,25086
46118,27478,320,27759
46118,49131,380,49464
46118,16997,50,17436
,,,
46120,"140,512","2,780","142,519"
46120,12152,1030,12346
46120,25370,700,25580
46120,26533,430,26753
46120,25156,290,25412
46120,36125,280,36465
46120,15176,50,15963
,,,
46121,"166,720","2,470","169,414"
46121,8075,720,8190
46121,21360,570,21662
46121,24088,390,24309
46121,27103,310,27314
46121,54027,410,54467
46121,32067,70,33472
,,,
46122,"527,683","7,720","535,049"
46122,27401,2360,27746
46122,60680,1660,61415
46122,69723,1120,70540
46122,81354,930,82100
46122,182313,1370,184237
46122,106212,280,109011
,,,
46123,"1,403,915","18,400","1,420,181"
46123,57065,5190,58138
46123,128798,3480,130640
46123,161582,2600,163371
46123,189747,2170,191547
46123,548435,4060,553113
46123,318288,900,323372
,,,
46124,"170,050","3,580","171,605"
46124,17030,1430,17180
46124,35111,980,35349
46124,30010,490,30189
46124,26348,310,26513
46124,40767,310,41191
46124,20784,60,21183
,,,
46126,"132,467","2,320","134,236"
46126,8411,750,8540
46126,19737,540,20055
46126,23543,380,23847
46126,23199,270,23519
46126,43661,330,44359
46126,13916,50,13916
,,,
46127,"7,385",160,"7,505"
46127,701,60,701
46127,1545,40,1545
46127,1764,30,1884
46127,3375,30,3375
46127,** ,** ,** 
46127,0,0,0
,,,
46128,"53,039","1,020","53,582"
46128,4077,340,4120
46128,8990,250,9116
46128,11129,180,11201
46128,10145,120,10207
46128,18698,130,18938
46128,** ,** ,** 
,,,
46130,"76,198","1,220","76,914"
46130,3876,370,3919
46130,8965,240,9071
46130,14757,240,14942
46130,11955,140,12091
46130,25394,190,25640
46130,11251,40,11251
,,,
46131,"831,893","14,940","841,987"
46131,60352,5200,61040
46131,134727,3680,135958
46131,150344,2440,151825
46131,131980,1520,133254
46131,231507,1760,234181
46131,122983,340,125729
,,,
46133,"17,861",410,"18,074"
46133,1703,160,1731
46133,4266,120,4380
46133,3641,60,3641
46133,3228,40,3299
46133,5023,30,5023
46133,** ,** ,** 
,,,
46135,"395,361","7,840","399,862"
46135,33904,2940,34317
46135,74673,2060,75396
46135,70156,1130,70943
46135,65039,750,65674
46135,107998,830,109324
46135,43591,130,44208
,,,
46140,"1,232,472","20,160","1,247,616"
46140,76184,6600,77122
46140,170792,4670,172410
46140,194170,3140,196125
46140,194719,2240,196616
46140,386934,2940,390930
46140,209673,570,214413
,,,
46142,"1,047,704","16,060","1,060,280"
46142,58416,5030,59321
46142,132237,3650,133809
46142,141634,2290,143255
46142,152315,1760,154003
46142,364890,2740,368335
46142,198212,590,201557
,,,
46143,"2,089,681","27,770","2,116,230"
46143,99163,8410,100634
46143,232042,6350,235042
46143,242932,3950,245717
46143,251518,2900,253921
46143,644179,4740,650813
46143,619847,1420,630103
,,,
46147,"80,125","1,360","81,222"
46147,5115,450,5193
46147,10883,290,11043
46147,12593,200,12756
46147,13244,150,13372
46147,30803,240,31371
46147,7487,30,7487
,,,
46148,"124,057","2,300","125,501"
46148,9937,830,10086
46148,20033,550,20219
46148,21071,340,21287
46148,20134,230,20276
46148,38211,300,38962
46148,14671,50,14671
,,,
46149,"64,626",940,"65,462"
46149,3019,270,3078
46149,7303,200,7372
46149,8386,140,8449
46149,8790,100,8870
46149,25401,190,25966
46149,11727,40,11727
,,,
46150,"19,916",360,"20,112"
46150,1384,120,1384
46150,3597,100,3685
46150,3218,50,3218
46150,3837,40,3945
46150,7880,50,7880
46150,** ,** ,** 
,,,
46151,"877,418","14,940","886,695"
46151,63587,5320,64453
46151,125248,3440,126389
46151,131460,2130,132589
46151,137947,1590,139209
46151,276585,2090,278989
46151,142591,370,145066
,,,
46156,"35,726",650,"36,261"
46156,2761,230,2808
46156,5788,160,5924
46156,6527,110,6608
46156,5280,60,5354
46156,15370,90,15567
46156,** ,** ,** 
,,,
46157,"112,764","1,850","113,843"
46157,6751,570,6863
46157,15901,430,16018
46157,18079,290,18243
46157,18659,220,18798
46157,36528,290,36792
46157,16846,50,17129
,,,
46158,"707,247","11,830","714,895"
46158,46548,3960,47095
46158,101416,2790,102396
46158,104356,1690,105167
46158,107611,1240,108467
46158,243393,1830,245939
46158,103923,320,105831
,,,
46160,"164,145","2,950","166,589"
46160,12422,1060,12684
46160,23260,640,23501
46160,27526,450,27779
46160,32006,370,32433
46160,47530,360,48098
46160,21401,70,22094
,,,
46161,"69,378","1,230","70,327"
46161,4377,370,4423
46161,12087,330,12257
46161,12978,210,13154
46161,11689,140,11809
46161,19071,150,19508
46161,9176,30,9176
,,,
