ZIP,Adjust Gross Income,Number of returns,Amount
46368,181522,2100,182344
46368,322996,2480,324750
46368,95685,260,97053
,,,
46371,"104,248","1,790","105,124"
46371,6731,600,6834
46371,12419,340,12561
46371,18665,300,18865
46371,21282,240,21383
46371,36259,280,36589
46371,8892,30,8892
,,,
46373,"808,640","8,220","820,336"
46373,21533,2130,22021
46373,39336,1060,39930
46373,60875,980,61572
46373,87375,1000,88416
46373,316153,2280,319127
46373,283368,770,289270
,,,
46374,"23,669",460,"24,037"
46374,2021,160,2101
46374,3515,100,3515
46374,4773,80,4993
46374,5635,60,5703
46374,7725,60,7725
46374,** ,** ,** 
,,,
46375,"985,586","12,650","996,946"
46375,41967,3720,42703
46375,85516,2320,86556
46375,111305,1790,112357
46375,129810,1490,130897
46375,367171,2690,370510
46375,249817,640,253923
,,,
46381,"4,921",130,"4,921"
46381,589,60,589
46381,2180,50,2180
46381,** ,** ,** 
46381,2152,20,2152
46381,** ,** ,** 
46381,0,0,0
,,,
46382,"64,366","1,030","65,466"
46382,3445,310,3480
46382,8158,220,8318
46382,11423,180,11530
46382,11407,130,11579
46382,21869,170,22495
46382,8064,20,8064
,,,
46383,"1,368,240","18,830","1,386,387"
46383,70741,6090,71845
46383,140008,3800,142101
46383,163672,2640,165676
46383,182787,2100,184665
46383,459851,3420,464631
46383,351181,780,357469
,,,
46385,"1,742,331","19,990","1,765,489"
46385,65947,5980,66971
46385,125463,3410,127152
46385,171582,2760,173560
46385,210788,2410,212749
46385,570548,4190,576554
46385,598003,1240,608503
,,,
46390,"80,568","1,390","81,857"
46390,4843,410,4944
46390,9965,270,10133
46390,15751,260,16010
46390,19528,230,19681
46390,30481,220,31089
46390,** ,** ,** 
,,,
46391,"191,906","2,990","193,736"
46391,11057,940,11196
46391,23995,660,24192
46391,27356,440,27652
46391,27448,310,27662
46391,73395,550,73991
46391,28655,90,29043
,,,
46392,"210,341","3,640","212,431"
46392,13988,1250,14154
46392,25693,690,26045
46392,33784,550,34123
46392,43136,500,43478
46392,75609,590,76322
46392,18131,60,18309
,,,
46394,"263,552","5,590","265,147"
46394,26816,2140,27115
46394,54670,1500,55009
46394,53995,880,54275
46394,44281,510,44467
46394,65014,490,65505
46394,18776,70,18776
,,,
46402,"45,614","1,890","45,918"
46402,16512,1290,16739
46402,14407,420,14459
46402,6252,100,6277
46402,4604,50,4604
46402,3839,30,3839
46402,** ,** ,** 
,,,
46403,"216,637","4,980","218,711"
46403,30506,2410,30995
46403,41752,1170,42095
46403,34780,560,35060
46403,32356,370,32466
46403,51679,390,52052
46403,25564,80,26043
,,,
46404,"199,743","6,450","200,852"
46404,47282,3670,47858
46404,58630,1670,58878
46404,35480,580,35617
46404,25609,300,25672
46404,32742,230,32827
46404,** ,** ,** 
,,,
46405,"186,393","5,130","187,424"
46405,29456,2400,29783
46405,50349,1410,50610
46405,42664,700,42823
46405,32557,380,32679
46405,31367,240,31529
46405,** ,** ,** 
,,,
46406,"91,762","3,310","92,291"
46406,24848,2000,25157
46406,29118,830,29249
46406,17378,290,17426
46406,9511,110,9552
46406,10907,80,10907
46406,** ,** ,** 
,,,
46407,"99,329","3,810","99,969"
46407,30243,2420,30663
46407,31309,900,31422
46407,16925,280,16991
46407,11084,130,11125
46407,9768,80,9768
46407,** ,** ,** 
,,,
46408,"206,282","6,170","207,668"
46408,40630,3210,41172
46408,59048,1670,59392
46408,40832,670,41000
46408,29846,350,29981
46408,35926,270,36123
46408,** ,** ,** 
,,,
46409,"76,467","2,700","76,891"
46409,21891,1660,22146
46409,22703,650,22809
46409,14036,230,14099
46409,7731,90,7731
46409,10106,70,10106
46409,** ,** ,** 
,,,
46410,"865,041","18,480","871,456"
46410,88413,7120,89603
46410,174281,4820,175663
46410,181270,2950,182530
46410,155170,1790,155861
46410,213171,1650,214384
46410,52736,150,53415
,,,
46501,"75,693","1,700","77,082"
46501,7326,630,7479
46501,18528,500,18790
46501,16112,260,16393
46501,14345,170,14591
46501,19382,140,19829
46501,** ,** ,** 
,,,
46504,"82,965","1,580","84,274"
46504,5871,510,5984
46504,15479,420,15648
46504,17411,280,17756
46504,17226,200,17361
46504,17872,140,18419
46504,9106,30,9106
,,,
46506,"284,972","4,770","289,918"
46506,16213,1520,16508
46506,45111,1210,45553
46506,55326,900,55889
46506,45239,520,45726
46506,64802,500,65875
46506,58281,120,60367
,,,
46507,"573,648","4,610","581,434"
46507,16186,1380,16481
46507,43739,1190,44164
46507,44594,720,45095
46507,42662,490,43164
46507,70557,530,71456
46507,355910,300,361074
,,,
46510,"83,202","1,590","84,247"
46510,6090,540,6160
46510,14308,400,14456
46510,17449,280,17632
46510,14276,160,14468
46510,24167,190,24619
46510,6912,20,6912
,,,
46511,"116,549","1,890","118,139"
46511,7632,690,7807
46511,15566,430,15789
46511,16768,270,16968
46511,16686,200,16876
46511,30255,230,30672
46511,29642,70,30027
,,,
46514,"1,218,153","20,360","1,233,575"
46514,87358,7020,88169
46514,226287,6220,227809
46514,199858,3270,201221
46514,146640,1700,147764
46514,215379,1660,218032
46514,342631,490,350580
,,,
46516,"727,120","15,080","734,225"
46516,74239,5850,74850
46516,179994,5000,180891
46516,133712,2210,134531
46516,86433,1000,87134
46516,99541,780,100680
46516,153201,240,156139
,,,
46517,"544,500","10,600","550,805"
46517,46999,3840,47540
46517,119411,3280,120101
46517,100174,1640,100945
46517,75979,880,76738
46517,104288,810,105468
46517,97649,150,100013
,,,
46524,"49,959","1,010","50,511"
46524,3962,310,4006
46524,9786,270,9932
46524,16391,270,16552
46524,7436,90,7495
46524,12384,70,12526
46524,** ,** ,** 
,,,
46526,"862,941","14,980","875,414"
46526,55659,4810,56452
46526,160147,4330,161704
46526,165297,2680,167017
46526,128402,1490,129623
46526,171535,1330,174165
46526,181901,340,186453
,,,
46528,"735,569","11,920","745,241"
46528,40934,3620,41501
46528,114889,3100,115995
46528,131703,2130,132868
46528,122327,1420,123506
46528,168833,1310,171015
46528,156883,340,160356
,,,
46530,"1,726,823","14,730","1,761,240"
46530,38252,4000,39057
46530,81278,2200,82965
46530,110531,1770,112209
46530,144176,1650,145895
46530,459468,3340,465678
46530,893118,1770,915436
,,,
46531,"31,234",670,"31,544"
46531,2603,230,2674
46531,6402,180,6480
46531,7184,120,7250
46531,6082,70,6135
46531,8963,70,9005
46531,** ,** ,** 
,,,
46532,"37,038",800,"37,377"
46532,3835,310,3888
46532,6885,190,6964
46532,9200,150,9298
46532,6603,80,6603
46532,10515,70,10624
46532,** ,** ,** 
,,,
46534,"221,363","4,830","223,648"
46534,23681,1940,24045
46534,48349,1320,48729
46534,44970,740,45315
46534,36581,430,36828
46534,46485,360,47434
46534,21297,40,21297
,,,
46536,"89,532","1,510","90,710"
46536,6106,520,6175
46536,13193,360,13342
46536,15460,250,15667
46536,14717,170,14817
46536,23255,180,23452
46536,16801,30,17257
,,,
46538,"153,930","2,040","156,062"
46538,6593,600,6699
46538,16064,440,16244
46538,20799,340,21020
46538,20291,240,20573
46538,41604,310,42152
46538,48579,110,49374
,,,
46539,"54,179","1,110","54,687"
46539,4387,390,4467
46539,10911,300,11012
46539,11338,180,11396
46539,10014,120,10137
46539,17529,120,17675
46539,** ,** ,** 
,,,
46540,"451,960","5,590","458,947"
46540,18415,1640,18778
46540,44055,1190,44744
46540,61567,980,62296
46540,66630,770,67287
46540,98393,750,99766
46540,162900,260,166076
,,,
46542,"114,994","2,160","116,954"
46542,7499,680,7592
46542,21193,570,21470
46542,25210,410,25425
46542,21934,260,22123
46542,26178,210,26925
46542,12980,30,13419
,,,
46543,"106,693","1,680","107,969"
46543,5087,450,5163
46543,14561,390,14766
46543,17771,280,17984
46543,26374,310,26534
46543,25785,210,26022
46543,17115,40,17500
,,,
46544,"778,850","15,320","788,228"
46544,69831,5780,70635
46544,159457,4370,160846
46544,145952,2390,147245
46544,113885,1320,114911
46544,161646,1250,163445
46544,128079,210,131146
,,,
46545,"661,791","12,710","670,441"
46545,64783,5090,65472
46545,138770,3840,140172
46545,110034,1800,111072
46545,76004,880,76797
46545,113921,870,115321
46545,158279,230,161607
,,,
46550,"404,816","5,840","413,716"
46550,20341,1820,20694
46550,54149,1460,54760
46550,74211,1190,75015
46550,57613,680,58201
46550,68205,530,69443
46550,130297,160,135603
,,,
46552,"182,108","3,080","184,437"
46552,11941,1050,12071
46552,24073,650,24436
46552,26965,440,27356
46552,33875,390,34203
46552,61153,480,61815
46552,24101,70,24556
,,,
46553,"105,480","1,730","107,134"
46553,5839,510,5933
46553,15130,410,15361
46553,19375,310,19531
46553,20713,240,20931
46553,28137,220,28609
46553,16286,40,16769
,,,
46554,"118,746","2,100","120,298"
46554,7469,670,7575
46554,19412,520,19571
46554,21005,340,21158
46554,20749,240,20967
46554,36276,290,36570
46554,13835,40,14457
,,,
46555,"74,724","1,530","75,666"
46555,6226,560,6300
46555,14518,400,14623
46555,15574,250,15734
46555,13454,160,13628
46555,16162,130,16591
46555,8790,30,8790
,,,
46556,"37,373",560,"37,525"
46556,2298,250,2350
46556,3505,100,3569
46556,3124,50,3124
46556,2799,30,2799
46556,11970,90,12006
46556,13677,40,13677
,,,
46561,"371,748","6,600","375,937"
46561,25858,2210,26102
46561,58672,1600,59337
46561,63641,1030,64201
46561,66365,760,66992
46561,116125,890,117281
46561,41087,110,42024
,,,
46562,"119,581","2,330","120,898"
46562,9999,840,10107
46562,23474,650,23603
46562,22236,360,22376
46562,19592,230,19715
46562,27332,210,27654
46562,16948,40,17443
,,,
46563,"565,293","10,770","573,192"
46563,45958,3960,46556
46563,108267,2950,109106
46563,98489,1610,99467
46563,87560,1010,88416
46563,135700,1040,137883
46563,89319,200,91764
,,,
46565,"234,911","3,820","238,604"
46565,13379,1110,13616
46565,29467,810,29867
46565,45098,720,45507
46565,63058,740,63437
46565,43042,340,43874
46565,40867,100,42303
,,,
46567,"381,313","4,830","388,044"
46567,18242,1610,18540
46567,41521,1110,41935
46567,48299,790,48793
46567,42900,500,43371
46567,75867,570,77002
46567,154484,250,158403
,,,
46570,"23,661",480,"23,906"
46570,1965,170,2039
46570,4276,110,4276
46570,5878,100,5968
46570,4153,50,4153
46570,7389,50,7470
46570,** ,** ,** 
,,,
46571,"132,291","2,370","134,243"
46571,8878,710,9064
46571,19105,520,19349
46571,30335,480,30678
46571,35105,410,35379
46571,27235,220,27647
46571,11633,30,12126
,,,
46573,"116,015","1,690","118,398"
46573,5694,530,5785
46573,13531,370,13723
46573,19216,310,19506
46573,18402,210,18734
46573,25840,200,26349
46573,33332,70,34301
,,,
46574,"188,822","3,750","190,920"
46574,15272,1330,15413
46574,35085,950,35364
46574,39085,640,39351
46574,34728,400,35012
46574,49827,390,50955
46574,14825,40,14825
,,,
46580,"586,983","10,610","593,773"
46580,43934,3770,44412
46580,100901,2790,101952
46580,99632,1620,100618
46580,88424,1030,89438
46580,145067,1100,146499
46580,109025,300,110854
,,,
46582,"404,249","6,520","408,807"
46582,23635,2050,23882
46582,55837,1530,56344
46582,69054,1120,69780
46582,61972,710,62602
46582,120685,910,122015
46582,73066,200,74184
,,,
46590,"156,208","2,050","158,530"
46590,7383,680,7480
46590,16791,470,17082
46590,19831,320,20080
46590,16858,190,17116
46590,33615,250,33978
46590,61730,140,62794
,,,
46601,"64,873","2,070","65,635"
46601,15677,1260,15926
46601,17537,500,17738
46601,9742,160,9815
46601,6212,70,6266
46601,7757,60,7942
46601,7948,20,7948
,,,
46613,"135,918","4,830","136,638"
46613,33304,2590,33592
46613,54326,1550,54523
46613,28153,470,28252
46613,13311,160,13447
46613,6824,60,6824
46613,** ,** ,** 
,,,
46614,"914,728","15,230","928,052"
46614,65605,5470,66545
46614,144553,3960,146274
46614,141546,2300,142919
46614,124737,1440,125860
46614,205528,1590,208051
46614,232759,470,238403
,,,
46615,"312,483","7,130","316,486"
46615,38854,3040,39381
46615,76209,2120,76862
46615,62013,1020,62695
46615,38703,450,39109
46615,50992,400,51657
46615,45712,100,46782
,,,
46616,"118,161","2,800","119,349"
46616,16719,1310,16976
46616,29603,830,29870
46616,20286,340,20498
46616,13789,160,13923
46616,15274,120,15385
46616,22490,40,22697
,,,
46617,"353,481","4,490","360,092"
46617,19103,1580,19403
46617,37764,1060,38178
46617,39830,650,40453
46617,30277,350,30651
46617,75144,550,76202
46617,151363,300,155205
,,,
46619,"352,862","9,510","355,441"
46619,58910,4550,59487
46619,100803,2820,101483
46619,69050,1130,69570
46619,45594,530,45849
46619,57106,450,57653
46619,21399,30,21399
,,,
46628,"577,108","12,470","583,910"
46628,68888,5570,69699
46628,112693,3140,113615
46628,93723,1530,94538
46628,79938,930,80704
46628,139889,1070,141265
46628,81977,230,84089
,,,
46635,"175,716","3,060","178,328"
46635,12793,1080,13016
46635,26068,710,26524
46635,31094,510,31379
46635,27713,320,28097
46635,47732,360,48178
46635,30316,80,31134
,,,
46637,"396,427","7,530","401,459"
46637,33674,2790,34219
46637,74179,2040,75041
46637,68831,1120,69521
46637,56324,650,56905
46637,96402,740,97280
46637,67017,190,68493
,,,
46701,"193,680","3,550","196,019"
46701,13533,1160,13742
46701,34432,920,34709
46701,37616,610,37962
46701,34279,400,34552
46701,52789,410,53299
46701,21031,50,21755
,,,
46702,"49,959","1,070","50,465"
46702,4764,410,4804
46702,10625,290,10738
46702,10719,170,10797
46702,8970,100,9089
46702,14881,100,15037
46702,** ,** ,** 
,,,
46703,"489,788","8,520","498,846"
46703,38471,3230,39003
46703,80517,2230,81427
46703,70767,1150,71659
46703,67044,770,68024
46703,116601,890,118134
46703,116388,250,120599
,,,
46705,"37,613",860,"37,894"
46705,3958,330,4011
46705,8517,240,8594
46705,8465,140,8531
46705,6998,80,7052
46705,9675,70,9706
46705,** ,** ,** 
,,,
46706,"597,450","9,740","606,113"
46706,39506,3360,40117
46706,89832,2460,90734
46706,88346,1440,89248
46706,88134,1020,89073
46706,156121,1190,157789
46706,135511,270,139152
,,,
46710,"122,482","2,220","124,041"
46710,8843,740,8936
46710,19597,530,19855
46710,23525,380,23673
46710,24941,290,25178
46710,31076,240,31899
46710,14500,40,14500
,,,
46711,"166,547","3,120","169,714"
46711,13689,1180,13915
46711,30848,850,31185
46711,28891,470,29276
46711,24075,280,24454
46711,34859,270,35509
46711,34185,70,35375
,,,
46714,"379,446","7,040","385,431"
46714,30535,2710,30993
46714,64491,1790,65123
46714,62997,1020,63744
46714,59314,680,60024
46714,89720,680,91146
46714,72389,160,74401
,,,
46721,"102,714","2,210","103,693"
46721,9196,800,9310
46721,23521,650,23770
46721,21663,350,21829
46721,19962,230,20130
46721,28372,180,28654
46721,** ,** ,** 
,,,
46723,"218,689","3,710","221,558"
46723,14238,1240,14440
46723,33657,910,33992
46723,35072,570,35397
46723,39472,460,39830
46723,56930,440,57730
46723,39320,90,40169
,,,
46725,"672,980","11,730","681,618"
46725,44619,3940,45196
46725,104865,2870,105995
46725,115756,1870,117065
46725,111512,1290,112512
46725,198516,1520,200688
46725,97712,240,100162
,,,
46730,"39,171",630,"39,786"
46730,2653,210,2675
46730,5622,150,5659
46730,6758,110,6841
46730,6058,70,6099
46730,18080,90,18512
46730,** ,** ,** 
,,,
46731,"17,565",290,"18,033"
46731,1080,90,1121
46731,2386,60,2386
46731,3369,50,3478
46731,3405,40,3405
46731,7325,50,7643
46731,** ,** ,** 
,,,
46732,"62,121","1,430","62,551"
46732,6066,520,6110
46732,15831,430,15920
46732,15050,250,15123
46732,11160,130,11252
46732,14014,100,14146
46732,** ,** ,** 
,,,
46733,"471,975","8,960","479,542"
46733,36196,3210,36689
46733,88138,2400,89018
46733,83683,1360,84590
46733,81970,950,82888
46733,113960,890,115670
46733,68028,150,70687
,,,
46737,"231,803","3,520","235,774"
46737,13983,1170,14209
46737,32493,890,32944
46737,35001,560,35459
46737,31329,370,31829
46737,51701,390,52617
46737,67296,140,68716
,,,
46738,"176,191","3,890","177,744"
46738,18003,1520,18170
46738,40856,1120,41106
46738,37156,610,37435
46738,29028,340,29270
46738,34817,270,35432
46738,16331,30,16331
,,,
46740,"64,176","1,500","65,066"
46740,7958,630,8018
46740,16259,450,16407
46740,13169,220,13273
46740,9586,110,9673
46740,17204,90,17695
46740,** ,** ,** 
,,,
46741,"108,525","1,820","111,160"
46741,7609,620,7868
46741,18921,530,19467
46741,17315,280,17817
46741,12998,150,13291
46741,23974,180,24659
46741,27708,60,28058
,,,
46742,"99,319","1,610","101,008"
46742,6393,540,6490
46742,14047,380,14257
46742,15025,240,15213
46742,16082,180,16267
46742,30092,220,30640
46742,17680,50,18141
,,,
46743,"53,393","1,040","54,162"
46743,4394,360,4476
46743,9352,250,9519
46743,10945,180,11084
46743,9572,110,9707
46743,19130,140,19376
46743,** ,** ,** 
,,,
46745,"58,502",960,"59,455"
46745,3081,290,3127
46745,8008,220,8112
46745,8582,140,8759
46745,11356,130,11462
46745,19275,150,19795
46745,8200,30,8200
,,,
46746,"99,359","1,890","100,812"
46746,7546,630,7624
46746,18686,520,18884
46746,21537,350,21790
46746,16426,190,16567
46746,21655,170,22438
46746,13509,30,13509
,,,
46747,"62,988","1,210","63,865"
46747,5301,430,5356
46747,12095,330,12183
46747,10935,180,11000
46747,10977,130,11116
46747,14496,120,15026
46747,9184,20,9184
,,,
46748,"298,712","3,240","304,333"
46748,9450,910,9585
46748,25192,690,25494
46748,30622,500,31014
46748,31798,370,32066
46748,66531,500,67361
46748,135119,270,138813
,,,
46750,"605,375","12,430","613,370"
46750,57221,4860,57923
46750,115899,3200,117187
46750,113233,1840,114396
46750,100796,1170,101721
46750,151218,1180,153192
46750,67008,180,68951
,,,
46755,"356,810","7,330","361,106"
46755,32282,2800,32606
46755,73126,2010,73721
46755,70611,1150,71124
46755,57345,670,57975
46755,74797,590,75431
46755,48649,110,50249
,,,
46759,"11,824",260,"11,960"
46759,950,80,950
46759,2864,80,2957
46759,3261,50,3304
46759,2148,30,2148
46759,2601,20,2601
46759,** ,** ,** 
,,,
46760,"29,881",610,"30,071"
46760,2217,190,2259
46760,6625,180,6661
46760,6571,110,6622
46760,5794,70,5794
46760,8674,60,8735
46760,** ,** ,** 
,,,
46761,"272,564","5,310","276,208"
46761,21459,1820,21841
46761,49034,1340,49575
46761,62565,1000,63086
46761,58440,690,58812
46761,49992,390,50611
46761,31074,70,32283
,,,
46763,"50,033",810,"50,688"
46763,2776,250,2813
46763,6634,180,6731
46763,8267,130,8356
46763,9283,110,9337
46763,15585,120,15963
46763,7488,20,7488
,,,
46764,"37,066",690,"37,502"
46764,2812,250,2852
46764,6003,170,6100
46764,6479,110,6557
46764,5874,70,5912
46764,15898,90,16081
46764,** ,** ,** 
,,,
46765,"209,809","2,620","212,897"
46765,8402,850,8546
46765,15810,420,16074
46765,20922,340,21227
46765,26749,300,27046
46765,76273,560,77220
46765,61653,150,62784
,,,
46766,"12,034",250,"12,087"
46766,960,80,960
46766,1915,50,1915
46766,3443,60,3496
46766,5716,60,5716
46766,** ,** ,** 
46766,** ,** ,** 
,,,
46767,"179,492","3,780","180,922"
46767,14210,1170,14383
46767,44897,1200,45124
46767,43837,710,44084
46767,37135,430,37388
46767,30072,240,30602
46767,9341,30,9341
,,,
46770,"77,671","1,290","78,759"
46770,4843,400,4916
46770,11490,310,11638
46770,13665,220,13860
46770,13662,160,13815
46770,22652,170,23171
46770,11359,30,11359
,,,
46772,"58,782","1,240","59,469"
46772,5552,460,5574
46772,14219,400,14334
46772,10530,170,10631
46772,9735,110,9830
46772,18746,100,19100
46772,** ,** ,** 
,,,
46773,"98,123","1,800","99,628"
46773,7214,620,7320
46773,15926,430,16111
46773,19023,310,19297
46773,19547,220,19785
46773,25472,190,26174
46773,10941,30,10941
,,,
46774,"417,949","8,500","423,378"
46774,37646,3130,38137
46774,80631,2200,81517
46774,83438,1360,84319
46774,78342,900,79127
46774,104351,820,105781
46774,33541,90,34497
,,,
46776,"32,680",740,"33,024"
46776,3526,280,3557
46776,8293,230,8390
46776,8103,130,8157
46776,4484,50,4646
46776,8274,50,8274
46776,** ,** ,** 
,,,
46777,"178,448","3,130","180,756"
46777,11890,1020,12085
46777,27166,750,27441
46777,31024,500,31335
46777,34567,400,34865
46777,51388,400,52106
46777,22413,60,22924
,,,
46779,"49,635",970,"50,130"
46779,4164,340,4193
46779,9958,270,10070
46779,9954,160,10020
46779,7821,90,7873
46779,17738,110,17974
46779,** ,** ,** 
,,,
46781,"20,100",450,"20,425"
46781,1916,160,1951
46781,3446,100,3516
46781,5916,100,6021
46781,3903,50,4018
46781,4919,40,4919
46781,** ,** ,** 
,,,
46783,"306,351","3,440","311,148"
46783,9393,930,9566
46783,21648,590,21944
46783,31466,510,31874
46783,41201,470,41627
46783,94721,710,95615
46783,107922,230,110522
,,,
46784,"67,808","1,160","68,658"
46784,4350,400,4391
46784,10448,280,10637
46784,11352,190,11457
46784,11530,130,11626
46784,15628,120,16047
46784,14500,40,14500
,,,
46785,"37,818",680,"38,179"
46785,2741,230,2779
46785,5878,160,5974
46785,7039,110,7126
46785,6161,70,6227
46785,15999,110,16073
46785,** ,** ,** 
,,,
46787,"90,529","1,820","91,745"
46787,7167,620,7301
46787,17425,480,17711
46787,19247,310,19583
46787,16173,190,16336
46787,24435,200,24732
46787,6082,20,6082
,,,
46788,"106,698","1,450","108,465"
46788,5038,440,5167
46788,10742,290,10958
46788,13304,210,13531
46788,13188,150,13378
46788,38662,290,39142
46788,25764,70,26289
,,,
46791,"30,080",420,"30,458"
46791,1587,130,1587
46791,3249,90,3306
46791,4365,70,4447
46791,4478,50,4478
46791,16401,80,16640
46791,** ,** ,** 
,,,
46792,"97,659","1,900","98,816"
46792,7880,660,7984
46792,18319,510,18575
46792,21011,340,21207
46792,16621,190,16808
46792,22440,170,22854
46792,11388,30,11388
,,,
46793,"100,611","2,010","102,117"
46793,8778,720,8905
46793,19855,540,20001
46793,19725,320,19914
46793,18199,210,18482
46793,23408,190,24169
46793,10646,30,10646
,,,
46794,"30,713",630,"31,038"
46794,2091,210,2103
46794,5672,150,5726
46794,8161,130,8279
46794,6509,80,6509
46794,8280,60,8421
46794,** ,** ,** 
,,,
46795,"179,167","2,910","181,545"
46795,10005,880,10148
46795,24171,650,24443
46795,33283,540,33678
46795,32289,380,32532
46795,49410,380,50042
46795,30009,80,30702
,,,
46797,"101,917","1,810","103,684"
46797,7414,610,7497
46797,17292,470,17512
46797,17778,290,18005
46797,17379,200,17598
46797,26487,200,27068
46797,15567,40,16004
,,,
46798,"35,026",640,"35,309"
46798,2708,200,2734
46798,5688,160,5733
46798,6630,110,6719
46798,6549,80,6549
46798,13451,90,13574
46798,** ,** ,** 
,,,
46802,"171,592","4,380","174,142"
46802,28667,2230,29000
46802,46181,1320,46647
46802,24293,400,24549
46802,14022,160,14233
46802,23634,180,23947
46802,34795,90,35766
,,,
46803,"99,356","3,750","100,198"
46803,29793,2360,30148
46803,36231,1050,36418
46803,13702,230,13792
46803,4879,60,4879
46803,14751,50,14961
46803,** ,** ,** 
,,,
46804,"1,108,490","14,320","1,125,074"
46804,49686,4320,50518
46804,110740,3020,112269
46804,136587,2200,138254
46804,151207,1730,152720
46804,315428,2380,319141
46804,344842,670,352172
,,,
46805,"397,479","9,960","402,722"
46805,55589,4360,56260
46805,114395,3210,115627
46805,76898,1270,77857
46805,49205,570,49870
46805,57121,440,57788
46805,44271,110,45320
,,,
46806,"264,456","10,050","266,122"
46806,76678,5850,77459
46806,106501,3080,106956
46806,46001,770,46184
46806,18599,220,18697
46806,16677,130,16826
46806,** ,** ,** 
,,,
46807,"323,448","7,500","327,764"
46807,40510,3210,41011
46807,82302,2290,83145
46807,61152,1010,61737
46807,41769,480,42393
46807,54188,420,54923
46807,43527,90,44555
,,,
46808,"338,315","9,370","341,340"
46808,55121,4270,55669
46808,105073,2930,106012
46808,74690,1220,75363
46808,48948,570,49338
46808,42259,340,42734
46808,12224,40,12224
,,,
46809,"172,304","4,490","173,778"
46809,24400,1920,24621
46809,50312,1400,50693
46809,39828,650,40191
46809,24861,290,25038
46809,26574,210,26906
46809,6329,20,6329
,,,
46814,"1,232,139","6,940","1,256,199"
46814,16593,1800,16919
46814,28943,790,29439
46814,39476,640,40224
46814,58522,670,59524
46814,238427,1690,241569
46814,850178,1350,868524
,,,
46815,"659,101","13,410","666,299"
46815,56684,4870,57340
46815,130463,3560,131937
46815,131622,2140,133043
46815,118241,1370,119450
46815,169189,1320,170736
46815,52902,150,53793
,,,
46816,"286,637","8,060","289,120"
46816,48887,3830,49333
46816,89796,2540,90227
46816,52485,860,52925
46816,37498,440,37787
46816,44959,350,45836
46816,13012,40,13012
,,,
46818,"564,700","9,790","571,295"
46818,39269,3250,39801
46818,87182,2380,88213
46818,95858,1550,96910
46818,101674,1170,102597
46818,167113,1290,168760
46818,73604,150,75014
,,,
46819,"202,035","4,580","203,813"
46819,22595,1770,22817
46819,48355,1330,48824
46819,44393,720,44746
46819,35907,420,36180
46819,37758,300,38219
46819,13027,40,13027
,,,
46825,"782,756","14,440","794,328"
46825,63667,5120,64738
46825,151042,4150,152721
46825,135703,2210,137206
46825,113988,1320,115126
46825,176316,1350,178308
46825,142040,290,146229
,,,
46835,"1,069,191","18,300","1,083,395"
46835,73640,6080,74629
46835,171122,4680,173417
46835,183443,2970,185315
46835,162423,1870,163947
46835,286696,2200,289882
46835,191867,500,196205
,,,
46845,"1,269,869","12,380","1,293,739"
46845,32851,3320,33426
46845,62765,1680,63909
46845,97269,1560,98825
46845,138279,1580,140156
46845,423553,3130,428920
46845,515152,1110,528503
,,,
46901,"816,885","17,480","824,792"
46901,92633,7500,93435
46901,151132,4210,152181
46901,149888,2440,150913
46901,125319,1450,126354
46901,210522,1630,212242
46901,87391,250,89667
,,,
46902,"926,683","17,630","935,031"
46902,80420,6640,81153
46902,149881,4140,150944
46902,166403,2700,167486
46902,151865,1760,152980
46902,274136,2090,276383
46902,103978,300,106085
,,,
46910,"74,347","1,560","75,273"
46910,6793,570,6855
46910,15218,420,15348
46910,15981,260,16154
46910,13599,160,13775
46910,22756,150,23141
46910,** ,** ,** 
,,,
46911,"34,518",630,"34,877"
46911,2216,200,2287
46911,4862,130,4893
46911,7220,120,7316
46911,7605,90,7669
46911,12615,90,12712
46911,** ,** ,** 
,,,
46913,"39,369",630,"39,986"
46913,2020,180,2057
46913,5017,140,5060
46913,7453,120,7502
46913,6932,80,6990
46913,17947,110,18377
46913,** ,** ,** 
,,,
46914,"43,410",950,"43,717"
46914,4525,410,4585
46914,6075,170,6075
46914,9947,160,10042
46914,7663,90,7692
46914,15200,120,15323
46914,** ,** ,** 
,,,
46915,"17,607",350,"17,730"
46915,1287,120,1287
46915,3035,80,3109
46915,3680,60,3680
46915,3419,40,3468
46915,6186,50,6186
46915,** ,** ,** 
,,,
46917,"40,713",800,"41,405"
46917,3186,290,3259
46917,7250,200,7336
46917,7393,120,7459
46917,8717,100,8791
46917,14167,90,14560
46917,** ,** ,** 
,,,
46919,"53,774","1,030","54,368"
46919,4726,390,4806
46919,7924,220,7979
46919,9319,150,9361
46919,11756,140,11880
46919,20049,130,20342
46919,** ,** ,** 
,,,
46920,"29,697",510,"29,960"
46920,1624,150,1624
46920,3499,100,3576
46920,5905,100,6019
46920,4830,60,4830
46920,13839,100,13911
46920,** ,** ,** 
,,,
46923,"191,124","3,820","193,514"
46923,15609,1400,15819
46923,34141,940,34444
46923,37718,620,38175
46923,35540,410,35894
46923,50731,400,51411
46923,17385,50,17771
,,,
46926,"39,276",790,"39,567"
46926,3279,280,3322
46926,6851,190,6930
46926,8520,140,8588
46926,8580,100,8630
46926,12046,80,12097
46926,** ,** ,** 
,,,
46928,"99,319","2,150","100,464"
46928,10320,850,10447
46928,20021,560,20144
46928,19559,320,19684
46928,16392,190,16651
46928,24884,200,25395
